player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
Sandeep Sharma,,,,,,,2.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
MM Sharma,,,,,10.0,8.0,13.0,14.0,10.0,6.0,,,4.0,3.0,2.0,4.0,,,6.0,4.0,,,,,,,6.0,12.0,,,,,,
AR Patel,24.0,25.0,9.0,6.0,0.0,1.0,44.0,29.0,7.0,12.0,4.0,6.0,34.0,18.0,16.0,9.0,,,38.0,20.0,2.0,1.0,8.0,10.0,19.0,13.0,22.0,21.0,,,,,,
T Natarajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP Stoinis,,,,,9.0,13.0,,,,,1.0,3.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,
Swapnil Singh,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,10.0,17.0,,,,,,
HM Amla,28.0,27.0,58.0,39.0,25.0,28.0,19.0,12.0,0.0,1.0,104.0,63.0,65.0,40.0,,,16.0,22.0,1.0,3.0,104.0,61.0,,,,,,,,,,,,
M Vohra,14.0,11.0,34.0,22.0,28.0,23.0,3.0,6.0,95.0,52.0,,,2.0,4.0,3.0,6.0,,,25.0,28.0,,,25.0,18.0,,,,,,,,,,
WP Saha,14.0,9.0,,,25.0,17.0,7.0,5.0,0.0,2.0,11.0,16.0,10.0,5.0,2.0,4.0,,,21.0,25.0,,,38.0,34.0,93.0,59.0,13.0,18.0,,,,,,
GJ Maxwell,44.0,23.0,43.0,22.0,25.0,14.0,0.0,2.0,10.0,12.0,40.0,18.0,31.0,18.0,0.0,2.0,,,6.0,11.0,20.0,11.0,44.0,27.0,47.0,22.0,0.0,4.0,,,,,,
DA Miller,30.0,27.0,,,28.0,20.0,24.0,29.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
VR Aaron,,,,,4.0,6.0,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,
I Sharma,,,,,,,,,2.0,6.0,,,,,5.0,2.0,,,,,,,,,,,1.0,5.0,,,,,,
KC Cariappa,,,,,,,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
EJG Morgan,,,,,,,22.0,20.0,13.0,17.0,,,,,26.0,21.0,,,,,,,,,,,4.0,4.0,,,,,,
SE Marsh,,,,,,,,,,,26.0,21.0,30.0,24.0,84.0,50.0,,,20.0,17.0,58.0,45.0,11.0,11.0,25.0,17.0,10.0,13.0,,,,,,
Anureet Singh,,,,,,,,,,,,,,,15.0,12.0,,,,,,,,,,,,,,,,,,
MJ Guptill,,,,,,,,,,,,,,,23.0,11.0,50.0,27.0,9.0,10.0,2.0,5.0,12.0,16.0,36.0,18.0,0.0,1.0,,,,,,
R Tewatia,,,,,,,,,,,,,,,,,,,,,,,15.0,8.0,,,4.0,3.0,,,,,,
MJ Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
