player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
TS Mills,6.0,3.0,0.0,3.0,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,
A Choudhary,6.0,2.0,,,,,,,,,,,,,15.0,12.0,,,,,4.0,6.0,,,,,,,,,,,,
YS Chahal,3.0,7.0,,,,,,,1.0,2.0,,,0.0,2.0,1.0,2.0,4.0,9.0,,,4.0,4.0,,,,,,,,,,,,
S Aravind,0.0,2.0,,,,,,,6.0,7.0,,,5.0,4.0,9.0,16.0,8.0,5.0,,,4.0,6.0,,,,,,,,,,,,
SR Watson,22.0,17.0,24.0,25.0,1.0,4.0,,,14.0,18.0,,,,,,,,,3.0,5.0,3.0,6.0,,,4.0,5.0,,,,,,,,
TM Head,30.0,22.0,,,,,,,,,30.0,16.0,,,0.0,1.0,2.0,5.0,12.0,15.0,,,75.0,48.0,2.0,2.0,,,,,,,,
STR Binny,11.0,10.0,16.0,19.0,18.0,20.0,6.0,4.0,18.0,8.0,,,8.0,9.0,,,1.0,7.0,,,,,,,,,,,,,,,,
CH Gayle,32.0,23.0,6.0,9.0,,,22.0,28.0,,,77.0,40.0,7.0,18.0,8.0,12.0,,,,,0.0,2.0,0.0,1.0,48.0,39.0,,,,,,,,
Mandeep Singh,24.0,16.0,12.0,10.0,28.0,34.0,0.0,1.0,0.0,3.0,,,1.0,3.0,8.0,14.0,,,17.0,13.0,46.0,40.0,52.0,44.0,,,,,,,,,,
KM Jadhav,31.0,18.0,69.0,38.0,1.0,4.0,9.0,8.0,18.0,24.0,38.0,16.0,9.0,8.0,31.0,18.0,7.0,13.0,28.0,22.0,6.0,6.0,8.0,9.0,12.0,10.0,,,,,,,,
Sachin Baby,1.0,3.0,,,,,,,,,,,,,,,2.0,4.0,,,,,,,12.0,10.0,,,,,,,,
Vishnu Vinod,,,9.0,5.0,7.0,12.0,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,,,,,
Iqbal Abdulla,,,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Negi,,,10.0,8.0,,,13.0,13.0,10.0,7.0,,,2.0,3.0,32.0,19.0,3.0,7.0,35.0,23.0,21.0,25.0,5.0,3.0,13.0,6.0,,,,,,,,
B Stanlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,,,,,89.0,49.0,19.0,22.0,29.0,32.0,,,8.0,6.0,5.0,12.0,3.0,8.0,43.0,28.0,10.0,6.0,10.0,8.0,,,,,,,,,,
V Kohli,,,,,,,62.0,48.0,28.0,19.0,64.0,51.0,0.0,1.0,10.0,14.0,55.0,48.0,20.0,15.0,6.0,6.0,5.0,9.0,58.0,46.0,,,,,,,,
S Badree,,,,,,,,,0.0,1.0,,,0.0,3.0,3.0,3.0,2.0,8.0,,,8.0,10.0,,,,,,,,,,,,
AF Milne,,,,,,,,,2.0,3.0,,,,,,,5.0,8.0,0.0,1.0,,,,,,,,,,,,,,
Avesh Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
