player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
JJ Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB McCullum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina,,,,24.0,12.0,0.0,9.0,6.0,0.0,,,,,,,11.0,12.0,1.0,6.0,6.0,0.0,,,,28.0,24.0,0.0,,,,24.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,
AJ Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Kumar,13.0,12.0,0.0,16.0,12.0,1.0,51.0,24.0,1.0,25.0,15.0,1.0,,,,24.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,22.0,24.0,2.0,,,,,,,,,,,,
DS Kulkarni,42.0,17.0,0.0,17.0,12.0,0.0,,,,,,,37.0,24.0,1.0,23.0,12.0,0.0,,,,,,,,,,,,,,,,24.0,24.0,1.0,30.0,24.0,0.0,,,,,,,,,,,,,,,
MS Gony,32.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Kaushik,40.0,24.0,0.0,29.0,24.0,0.0,,,,,,,36.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Smith,23.0,6.0,0.0,,,,10.0,12.0,1.0,11.0,6.0,0.0,17.0,6.0,0.0,14.0,12.0,0.0,18.0,6.0,1.0,,,,,,,26.0,18.0,0.0,11.0,6.0,0.0,,,,17.0,6.0,0.0,,,,,,,,,,,,,,,
SB Jakati,30.0,18.0,0.0,,,,22.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,,,,21.0,12.0,0.0,21.0,18.0,0.0,33.0,24.0,0.0,31.0,24.0,1.0,44.0,24.0,1.0,44.0,24.0,0.0,34.0,24.0,1.0,29.0,24.0,3.0,35.0,24.0,2.0,40.0,24.0,1.0,48.0,24.0,1.0,43.0,22.0,1.0,,,,,,,,,,,,,,,
Tejas Baroka,,,,33.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Tye,,,,,,,17.0,24.0,5.0,34.0,24.0,2.0,34.0,24.0,0.0,,,,35.0,24.0,2.0,12.0,24.0,3.0,9.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Jadeja,,,,,,,40.0,24.0,1.0,34.0,24.0,0.0,57.0,24.0,0.0,31.0,24.0,0.0,32.0,24.0,1.0,28.0,24.0,2.0,11.0,6.0,0.0,19.0,12.0,0.0,28.0,12.0,1.0,19.0,12.0,0.0,31.0,24.0,0.0,19.0,18.0,0.0,,,,,,,,,,,,
Ishan Kishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM Patel,,,,,,,,,,35.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,18.0,0.0,,,,,,,,,,,,
JP Faulkner,,,,,,,,,,,,,,,,38.0,24.0,1.0,,,,15.0,18.0,1.0,45.0,29.0,4.0,30.0,17.0,0.0,35.0,15.0,0.0,43.0,24.0,0.0,39.0,24.0,2.0,24.0,12.0,0.0,,,,,,,,,,,,
SS Agarwal,,,,,,,,,,,,,,,,,,,42.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Singh,,,,,,,,,,,,,,,,,,,7.0,12.0,1.0,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Soni,,,,,,,,,,,,,,,,,,,,,,28.0,18.0,1.0,16.0,24.0,1.0,16.0,24.0,0.0,26.0,12.0,0.0,27.0,18.0,0.0,,,,31.0,13.0,0.0,,,,,,,,,,,,
IK Pathan,,,,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Sangwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,24.0,2.0,43.0,24.0,1.0,28.0,18.0,1.0,35.0,18.0,1.0,37.0,24.0,0.0,,,,,,,,,,,,
