player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
Z Khan,31.0,24.0,2.0,20.0,18.0,3.0,38.0,24.0,0.0,28.0,24.0,2.0,37.0,24.0,0.0,36.0,24.0,0.0,8.0,7.0,0.0,,,,,,,,,,29.0,24.0,0.0,30.0,24.0,0.0,25.0,24.0,2.0,31.0,24.0,1.0,,,,,,,,,,,,
CH Morris,21.0,24.0,3.0,19.0,12.0,1.0,23.0,24.0,3.0,30.0,24.0,0.0,26.0,24.0,4.0,33.0,24.0,0.0,39.0,18.0,0.0,13.0,12.0,0.0,36.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Cummins,29.0,24.0,1.0,24.0,19.0,2.0,23.0,24.0,2.0,39.0,24.0,2.0,37.0,24.0,0.0,20.0,24.0,2.0,22.0,18.0,0.0,,,,,,,30.0,24.0,2.0,59.0,24.0,0.0,38.0,24.0,1.0,31.0,24.0,1.0,21.0,24.0,2.0,,,,,,,,,,,,
S Nadeem,13.0,24.0,1.0,23.0,24.0,1.0,13.0,12.0,2.0,,,,,,,,,,,,,9.0,5.0,0.0,,,,28.0,12.0,0.0,,,,,,,21.0,18.0,1.0,12.0,12.0,1.0,,,,,,,,,,,,
A Mishra,32.0,12.0,0.0,11.0,18.0,3.0,16.0,18.0,1.0,26.0,17.0,1.0,33.0,18.0,0.0,18.0,24.0,2.0,36.0,18.0,0.0,9.0,6.0,0.0,23.0,24.0,1.0,23.0,12.0,0.0,37.0,24.0,1.0,27.0,12.0,1.0,26.0,18.0,0.0,26.0,12.0,0.0,,,,,,,,,,,,
CR Brathwaite,28.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,24.0,1.0,,,,,,,,,,,,,,,,,,
AP Tare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Billings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KK Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SV Samson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Pant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Anderson,,,,10.0,6.0,0.0,23.0,18.0,1.0,,,,,,,,,,27.0,17.0,0.0,,,,,,,36.0,18.0,1.0,29.0,12.0,1.0,19.0,12.0,0.0,4.0,6.0,0.0,38.0,24.0,0.0,,,,,,,,,,,,
SS Iyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Mathews,,,,,,,,,,15.0,12.0,0.0,41.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Shami,,,,,,,,,,28.0,18.0,0.0,,,,,,,,,,19.0,12.0,0.0,36.0,24.0,2.0,40.0,18.0,0.0,16.0,12.0,0.0,36.0,24.0,1.0,37.0,24.0,2.0,31.0,24.0,0.0,,,,,,,,,,,,
J Yadav,,,,,,,,,,,,,14.0,12.0,0.0,,,,,,,,,,26.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Rabada,,,,,,,,,,,,,,,,30.0,24.0,1.0,20.0,20.0,2.0,18.0,12.0,0.0,59.0,24.0,0.0,28.0,24.0,2.0,33.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,
AR Bawne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN Samuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,12.0,0.0,,,,,,,12.0,6.0,0.0,,,,,,,,,,,,,,,
