player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
JJ Roy,14.0,13.0,31.0,21.0,,,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BB McCullum,35.0,24.0,5.0,10.0,49.0,33.0,64.0,44.0,72.0,48.0,33.0,17.0,6.0,6.0,3.0,6.0,6.0,4.0,1.0,4.0,45.0,28.0,1.0,3.0,,,,,,,,,,
SK Raina,68.0,52.0,5.0,8.0,35.0,23.0,28.0,29.0,23.0,8.0,84.0,46.0,32.0,24.0,34.0,31.0,1.0,3.0,,,8.0,8.0,77.0,43.0,39.0,25.0,6.0,5.0,2.0,5.0,,,,
AJ Finch,15.0,8.0,3.0,5.0,33.0,20.0,,,19.0,16.0,31.0,15.0,13.0,12.0,72.0,36.0,0.0,3.0,1.0,4.0,13.0,7.0,27.0,19.0,2.0,2.0,69.0,40.0,2.0,3.0,,,,
KD Karthik,47.0,25.0,30.0,32.0,3.0,5.0,48.0,29.0,1.0,4.0,3.0,3.0,58.0,46.0,,,2.0,9.0,,,29.0,26.0,65.0,36.0,35.0,23.0,40.0,29.0,0.0,1.0,,,,
P Kumar,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
DS Kulkarni,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Gony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Kaushik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Smith,,,37.0,27.0,47.0,31.0,0.0,3.0,1.0,4.0,5.0,4.0,4.0,4.0,,,,,,,0.0,1.0,9.0,4.0,74.0,39.0,8.0,8.0,54.0,33.0,,,,
SB Jakati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,,,13.0,8.0,,,,,0.0,1.0,,,11.0,12.0,,,2.0,4.0,,,2.0,5.0,,,,,,,,,,,,
Tejas Baroka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Tye,,,,,,,,,6.0,6.0,,,22.0,12.0,,,25.0,12.0,,,,,,,,,,,,,,,,
RA Jadeja,,,,,,,,,23.0,22.0,19.0,13.0,9.0,7.0,2.0,5.0,28.0,22.0,,,19.0,12.0,18.0,7.0,7.0,8.0,13.0,7.0,20.0,15.0,,,,
Ishan Kishan,,,,,,,11.0,14.0,39.0,17.0,4.0,11.0,,,16.0,11.0,48.0,38.0,,,31.0,24.0,4.0,7.0,29.0,24.0,34.0,27.0,61.0,41.0,,,,
MM Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
JP Faulkner,,,,,,,,,,,4.0,2.0,,,,,21.0,29.0,,,6.0,7.0,1.0,4.0,,,14.0,8.0,8.0,10.0,,,,
SS Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
Ankit Soni,,,,,,,,,,,,,,,,,7.0,2.0,,,0.0,1.0,,,,,,,0.0,6.0,,,,
IK Pathan,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,
PJ Sangwan,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,0.0,1.0,,,,
