player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
TA Boult,40.0,24.0,1.0,47.0,23.0,0.0,36.0,24.0,0.0,33.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,24.0,2.0,30.0,24.0,1.0,,,,,,,,,
PP Chawla,33.0,24.0,1.0,,,,36.0,18.0,1.0,,,,,,,,,,,,,36.0,24.0,1.0,,,,,,,,,,13.0,12.0,0.0,,,,,,,27.0,18.0,1.0,34.0,24.0,2.0,,,,,,
SP Narine,33.0,24.0,0.0,22.0,24.0,1.0,12.0,24.0,1.0,18.0,24.0,1.0,20.0,24.0,1.0,42.0,24.0,0.0,,,,33.0,24.0,1.0,25.0,24.0,1.0,37.0,18.0,0.0,28.0,24.0,0.0,29.0,24.0,2.0,27.0,24.0,1.0,37.0,24.0,0.0,20.0,24.0,0.0,21.0,24.0,0.0,,,,,,
CR Woakes,35.0,18.0,0.0,33.0,24.0,1.0,30.0,18.0,2.0,49.0,24.0,1.0,31.0,24.0,1.0,20.0,12.0,1.0,6.0,12.0,3.0,38.0,18.0,0.0,20.0,18.0,0.0,46.0,24.0,1.0,18.0,24.0,3.0,39.0,24.0,1.0,20.0,24.0,2.0,,,,,,,,,,,,,,,
Kuldeep Yadav,25.0,24.0,2.0,35.0,24.0,1.0,,,,23.0,24.0,1.0,29.0,18.0,0.0,33.0,24.0,2.0,,,,31.0,24.0,2.0,27.0,24.0,0.0,43.0,24.0,0.0,35.0,24.0,1.0,,,,34.0,18.0,2.0,25.0,18.0,1.0,,,,,,,,,,,,
YK Pathan,15.0,6.0,0.0,,,,,,,2.0,6.0,1.0,,,,,,,,,,,,,,,,17.0,6.0,0.0,,,,,,,,,,,,,7.0,6.0,0.0,,,,,,,,,
G Gambhir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA Lynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS Rajpoot,,,,37.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.0,0.0,17.0,12.0,0.0,14.0,18.0,1.0,,,,14.0,6.0,0.0,,,,,,
UT Yadav,,,,,,,33.0,24.0,4.0,27.0,18.0,0.0,53.0,24.0,1.0,17.0,12.0,1.0,15.0,18.0,1.0,28.0,18.0,1.0,38.0,24.0,1.0,30.0,24.0,0.0,23.0,24.0,1.0,36.0,24.0,3.0,26.0,18.0,1.0,40.0,24.0,0.0,21.0,24.0,2.0,23.0,15.0,1.0,,,,,,
C de Grandhomme,,,,,,,15.0,12.0,1.0,,,,12.0,6.0,0.0,,,,4.0,10.0,3.0,14.0,12.0,0.0,15.0,6.0,0.0,,,,7.0,2.0,0.0,15.0,12.0,0.0,37.0,24.0,0.0,16.0,12.0,0.0,,,,,,,,,,,,
NM Coulter-Nile,,,,,,,,,,,,,22.0,24.0,3.0,41.0,20.0,2.0,20.0,18.0,3.0,,,,34.0,24.0,3.0,34.0,24.0,0.0,41.0,18.0,0.0,,,,,,,,,,20.0,24.0,2.0,15.0,18.0,1.0,,,,,,
Shakib Al Hasan,,,,,,,,,,,,,,,,31.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR Jaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
