player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
AB Dinda,56.0,24.0,0.0,26.0,18.0,1.0,36.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Chahar,21.0,12.0,0.0,,,,35.0,18.0,1.0,,,,,,,,,,,,,,,,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA Stokes,36.0,24.0,1.0,32.0,24.0,0.0,41.0,24.0,0.0,18.0,18.0,0.0,18.0,24.0,3.0,19.0,12.0,0.0,21.0,24.0,2.0,,,,,,,36.0,24.0,0.0,24.0,24.0,1.0,30.0,24.0,3.0,31.0,24.0,2.0,10.0,18.0,0.0,,,,,,,,,,,,
Imran Tahir,28.0,24.0,3.0,29.0,24.0,1.0,24.0,24.0,1.0,53.0,24.0,1.0,27.0,24.0,1.0,23.0,18.0,1.0,32.0,24.0,1.0,48.0,24.0,0.0,18.0,24.0,3.0,27.0,24.0,2.0,36.0,24.0,1.0,24.0,24.0,1.0,,,,,,,,,,,,,,,,,,
A Zampa,26.0,18.0,1.0,,,,45.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,24.0,1.0,22.0,23.0,2.0,9.0,6.0,0.0,32.0,24.0,2.0,,,,,,
R Bhatia,14.0,18.0,1.0,20.0,12.0,0.0,21.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPD Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT Christian,,,,24.0,12.0,0.0,,,,,,,26.0,24.0,0.0,20.0,24.0,1.0,6.0,6.0,1.0,31.0,24.0,1.0,25.0,24.0,1.0,27.0,18.0,1.0,23.0,18.0,1.0,21.0,18.0,0.0,18.0,12.0,1.0,10.0,12.0,2.0,33.0,24.0,0.0,34.0,24.0,2.0,,,,,,
RD Chahar,,,,32.0,24.0,1.0,,,,26.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F du Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Tripathi,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Sharma,,,,,,,,,,16.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN Thakur,,,,,,,,,,14.0,18.0,1.0,35.0,24.0,3.0,50.0,24.0,0.0,29.0,18.0,0.0,31.0,19.0,0.0,,,,25.0,18.0,1.0,21.0,18.0,0.0,12.0,12.0,0.0,35.0,18.0,0.0,19.0,24.0,3.0,37.0,24.0,3.0,7.0,12.0,0.0,,,,,,
LH Ferguson,,,,,,,,,,44.0,24.0,0.0,,,,,,,,,,,,,7.0,24.0,2.0,,,,,,,,,,,,,,,,20.0,18.0,1.0,21.0,12.0,0.0,,,,,,
JD Unadkat,,,,,,,,,,,,,25.0,24.0,2.0,41.0,24.0,1.0,40.0,24.0,1.0,26.0,18.0,1.0,19.0,24.0,1.0,29.0,23.0,3.0,28.0,24.0,1.0,30.0,24.0,4.0,29.0,24.0,2.0,12.0,18.0,2.0,24.0,24.0,1.0,19.0,24.0,1.0,,,,,,
Washington Sundar,,,,,,,,,,,,,,,,19.0,18.0,0.0,26.0,24.0,1.0,32.0,18.0,0.0,7.0,12.0,1.0,12.0,12.0,0.0,18.0,12.0,2.0,19.0,18.0,0.0,23.0,18.0,1.0,,,,16.0,24.0,3.0,13.0,24.0,0.0,,,,,,
