player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
TS Mills,31.0,24.0,1.0,33.0,24.0,1.0,22.0,12.0,1.0,36.0,23.0,0.0,,,,,,,31.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Choudhary,55.0,24.0,1.0,,,,,,,,,,,,,,,,,,,21.0,12.0,0.0,,,,32.0,24.0,1.0,17.0,24.0,2.0,19.0,17.0,1.0,,,,,,,,,,,,,,,,,,
YS Chahal,22.0,24.0,1.0,19.0,24.0,1.0,29.0,21.0,1.0,31.0,18.0,1.0,11.0,6.0,0.0,31.0,24.0,3.0,16.0,24.0,3.0,29.0,18.0,0.0,25.0,12.0,0.0,36.0,24.0,1.0,21.0,24.0,2.0,39.0,24.0,1.0,24.0,18.0,0.0,,,,,,,,,,,,,,,
S Aravind,36.0,18.0,0.0,,,,,,,21.0,24.0,0.0,29.0,24.0,2.0,53.0,24.0,1.0,27.0,21.0,1.0,19.0,18.0,0.0,30.0,24.0,0.0,21.0,12.0,0.0,13.0,12.0,1.0,26.0,6.0,0.0,,,,,,,,,,,,,,,,,,
SR Watson,41.0,18.0,0.0,21.0,24.0,1.0,28.0,12.0,0.0,,,,44.0,24.0,1.0,24.0,12.0,0.0,,,,,,,,,,28.0,23.0,1.0,43.0,24.0,1.0,,,,16.0,24.0,1.0,,,,,,,,,,,,,,,
TM Head,11.0,6.0,0.0,,,,,,,,,,,,,18.0,12.0,0.0,,,,11.0,5.0,0.0,,,,,,,,,,11.0,7.0,0.0,30.0,18.0,2.0,,,,,,,,,,,,,,,
STR Binny,10.0,6.0,1.0,,,,,,,14.0,12.0,1.0,,,,,,,9.0,6.0,1.0,,,,17.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM Jadhav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachin Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu Vinod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iqbal Abdulla,,,,36.0,18.0,2.0,19.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Negi,,,,3.0,6.0,1.0,7.0,6.0,0.0,28.0,12.0,0.0,11.0,18.0,1.0,21.0,24.0,1.0,15.0,18.0,2.0,24.0,12.0,1.0,18.0,24.0,1.0,17.0,24.0,2.0,21.0,18.0,1.0,21.0,19.0,2.0,10.0,12.0,3.0,,,,,,,,,,,,,,,
B Stanlake,,,,29.0,24.0,2.0,41.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Badree,,,,,,,,,,9.0,24.0,4.0,32.0,24.0,1.0,,,,33.0,24.0,1.0,29.0,18.0,2.0,31.0,24.0,1.0,,,,14.0,18.0,0.0,40.0,18.0,0.0,,,,,,,,,,,,,,,,,,
AF Milne,,,,,,,,,,,,,27.0,24.0,2.0,41.0,24.0,1.0,,,,,,,35.0,24.0,0.0,29.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Avesh Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,24.0,1.0,,,,,,,,,,,,,,,
HV Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,24.0,3.0,,,,,,,,,,,,,,,
