player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
DA Warner,14.0,9.0,76.0,47.0,49.0,34.0,26.0,31.0,70.0,57.0,4.0,7.0,43.0,42.0,51.0,27.0,126.0,60.0,30.0,21.0,40.0,34.0,6.0,6.0,69.0,52.0,37.0,35.0,,,,,,
S Dhawan,40.0,31.0,9.0,9.0,48.0,44.0,23.0,22.0,15.0,15.0,70.0,50.0,30.0,29.0,77.0,50.0,29.0,33.0,28.0,17.0,19.0,12.0,62.0,46.0,18.0,12.0,11.0,13.0,,,,,,
MC Henriques,52.0,37.0,52.0,40.0,,,13.0,10.0,9.0,16.0,12.0,6.0,55.0,29.0,7.0,6.0,,,25.0,18.0,4.0,6.0,44.0,35.0,4.0,2.0,,,,,,,,
Yuvraj Singh,62.0,30.0,,,5.0,8.0,26.0,18.0,0.0,1.0,3.0,4.0,,,15.0,12.0,6.0,7.0,70.0,43.0,47.0,44.0,9.0,12.0,,,9.0,9.0,,,,,,
DJ Hooda,16.0,12.0,,,9.0,10.0,13.0,7.0,12.0,10.0,9.0,4.0,19.0,10.0,,,,,,,,,,,,,,,,,,,,
BCJ Cutting,16.0,6.0,,,20.0,11.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A Nehra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Kumar,,,,,4.0,3.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
Rashid Khan,,,,,2.0,4.0,,,6.0,1.0,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,
Bipul Sharma,,,,,,,21.0,14.0,,,,,,,,,,,,,8.0,8.0,,,,,2.0,3.0,,,,,,
NV Ojha,,,,,9.0,10.0,11.0,12.0,34.0,22.0,,,,,,,,,,,9.0,9.0,,,,,16.0,17.0,,,,,,
V Shankar,,,,,1.0,2.0,,,,,,,,,,,,,,,,,15.0,13.0,63.0,44.0,22.0,18.0,,,,,,
Mustafizur Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
BB Sran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Kaul,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,
KS Williamson,,,,,,,,,,,89.0,52.0,21.0,14.0,54.0,27.0,40.0,25.0,24.0,24.0,4.0,2.0,,,,,24.0,26.0,,,,,,
Mohammed Siraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
