player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
DA Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Henriques,18.0,12.0,0.0,12.0,6.0,0.0,,,,26.0,12.0,0.0,6.0,12.0,1.0,32.0,18.0,0.0,4.0,6.0,0.0,39.0,18.0,0.0,31.0,18.0,0.0,36.0,13.0,0.0,15.0,17.0,0.0,15.0,6.0,0.0,12.0,6.0,0.0,,,,,,,,,,,,,,,
Yuvraj Singh,,,,,,,,,,,,,,,,6.0,6.0,1.0,,,,,,,,,,16.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DJ Hooda,7.0,6.0,1.0,,,,18.0,12.0,1.0,,,,,,,,,,,,,17.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCJ Cutting,35.0,22.0,0.0,29.0,18.0,0.0,18.0,12.0,0.0,41.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Nehra,42.0,24.0,2.0,27.0,24.0,1.0,46.0,24.0,1.0,35.0,24.0,1.0,,,,,,,,,,42.0,24.0,3.0,,,,,,,5.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,
B Kumar,27.0,24.0,2.0,21.0,24.0,2.0,21.0,24.0,3.0,20.0,24.0,3.0,19.0,24.0,5.0,29.0,24.0,0.0,39.0,24.0,1.0,27.0,24.0,2.0,29.0,24.0,1.0,33.0,24.0,1.0,39.0,24.0,0.0,29.0,24.0,2.0,25.0,20.0,2.0,11.0,6.0,1.0,,,,,,,,,,,,
Rashid Khan,36.0,24.0,2.0,19.0,24.0,3.0,19.0,24.0,1.0,29.0,24.0,1.0,42.0,24.0,2.0,33.0,24.0,0.0,17.0,24.0,1.0,16.0,24.0,1.0,38.0,24.0,1.0,24.0,24.0,0.0,18.0,24.0,1.0,22.0,24.0,1.0,34.0,24.0,3.0,11.0,12.0,0.0,,,,,,,,,,,,
Bipul Sharma,4.0,6.0,1.0,24.0,24.0,0.0,,,,20.0,12.0,0.0,,,,,,,30.0,24.0,1.0,,,,10.0,6.0,0.0,,,,39.0,24.0,1.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,
NV Ojha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Shankar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustafizur Rahman,,,,,,,34.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,,,,,,,,,,,,,28.0,24.0,1.0,,,,,,,,,,,,,,,,,,,13.0,24.0,1.0,17.0,18.0,0.0,,,,,,,,,,,,,,,
BB Sran,,,,,,,,,,,,,29.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Kaul,,,,,,,,,,,,,25.0,22.0,1.0,32.0,24.0,1.0,45.0,18.0,0.0,36.0,24.0,3.0,26.0,24.0,2.0,38.0,24.0,1.0,29.0,24.0,4.0,24.0,24.0,3.0,30.0,24.0,1.0,14.0,6.0,0.0,,,,,,,,,,,,
KS Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Siraj,,,,,,,,,,,,,,,,39.0,24.0,2.0,42.0,24.0,0.0,,,,26.0,24.0,2.0,41.0,24.0,2.0,,,,32.0,18.0,0.0,32.0,24.0,4.0,,,,,,,,,,,,,,,
CJ Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,1.0,,,,,,,,,,,,
