player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
MS Dhoni,61.0,35.0,7.0,11.0,23.0,11.0,21.0,17.0,26.0,35.0,5.0,9.0,31.0,23.0,5.0,5.0,40.0,29.0,10.0,13.0
SK Raina,23.0,8.0,84.0,46.0,32.0,24.0,34.0,31.0,1.0,3.0,8.0,8.0,77.0,43.0,39.0,25.0,6.0,5.0,2.0,5.0
RA Jadeja,23.0,22.0,19.0,13.0,9.0,7.0,2.0,5.0,28.0,22.0,19.0,12.0,18.0,7.0,7.0,8.0,13.0,7.0,20.0,15.0
F du Plessis,8.0,7.0,,,,,,,,,,,,,,,,,,
Harbhajan Singh,1.0,1.0,3.0,3.0,2.0,2.0,7.0,2.0,0.0,1.0,1.0,4.0,2.0,4.0,,,,,,
DM Bravo,6.0,5.0,,,,,,,,,,,,,,,,,,
SR Watson,22.0,17.0,24.0,25.0,1.0,4.0,14.0,18.0,3.0,5.0,3.0,6.0,4.0,5.0,,,,,,
AT Rayudu,10.0,12.0,63.0,37.0,0.0,3.0,6.0,12.0,12.0,16.0,,,,,,,,,,
DL Chahar,14.0,6.0,,,,,,,,,,,,,,,,,,
M Vijay,,,,,,,,,,,,,,,,,,,,
SW Billings,25.0,19.0,24.0,19.0,55.0,41.0,21.0,17.0,13.0,9.0,0.0,2.0,,,,,,,,
M Wood,,,,,,,,,,,,,,,,,,,,
Imran Tahir,0.0,2.0,,,,,,,,,,,,,,,,,,
KV Sharma,11.0,10.0,9.0,8.0,5.0,5.0,19.0,6.0,4.0,8.0,1.0,5.0,,,,,,,,
SN Thakur,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
