player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
MS Dhoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina,24.0,2.0,0.0,9.0,1.0,0.0,11.0,2.0,1.0,6.0,1.0,0.0,28.0,4.0,0.0,24.0,2.0,0.0,,,,,,,,,,,,
RA Jadeja,57.0,4.0,0.0,31.0,4.0,0.0,32.0,4.0,1.0,28.0,4.0,2.0,11.0,1.0,0.0,19.0,2.0,0.0,28.0,2.0,1.0,19.0,2.0,0.0,31.0,4.0,0.0,19.0,3.0,0.0
F du Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbhajan Singh,23.0,4.0,2.0,23.0,4.0,0.0,22.0,4.0,1.0,12.0,2.0,0.0,26.0,4.0,0.0,20.0,4.0,1.0,23.0,4.0,1.0,22.0,4.0,3.0,23.0,4.0,0.0,45.0,3.0,0.0
DM Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR Watson,41.0,3.0,0.0,21.0,4.0,1.0,28.0,2.0,0.0,44.0,4.0,1.0,24.0,2.0,0.0,28.0,3.5,1.0,43.0,4.0,1.0,16.0,4.0,1.0,,,,,,
AT Rayudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Chahar,21.0,2.0,0.0,35.0,3.0,1.0,18.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
M Vijay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Billings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imran Tahir,24.0,4.0,1.0,53.0,4.0,1.0,27.0,4.0,1.0,23.0,3.0,1.0,32.0,4.0,1.0,48.0,4.0,0.0,18.0,4.0,3.0,27.0,4.0,2.0,36.0,4.0,1.0,24.0,4.0,1.0
KV Sharma,39.0,4.0,1.0,22.0,3.0,1.0,11.0,3.4,3.0,19.0,2.0,0.0,32.0,3.0,1.0,26.0,3.0,1.0,30.0,4.0,1.0,16.0,4.0,4.0,18.0,4.0,0.0,,,
SN Thakur,50.0,4.0,0.0,29.0,3.0,0.0,31.0,3.1,0.0,25.0,3.0,1.0,21.0,3.0,0.0,12.0,2.0,0.0,35.0,3.0,0.0,19.0,4.0,3.0,37.0,4.0,3.0,7.0,2.0,0.0
