player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
SS Iyer,50.0,31.0,6.0,7.0,47.0,35.0,6.0,7.0,33.0,27.0,14.0,9.0,3.0,6.0,96.0,57.0,3.0,4.0,32.0,31.0
CH Morris,4.0,5.0,38.0,9.0,16.0,9.0,16.0,10.0,52.0,42.0,11.0,10.0,2.0,5.0,15.0,7.0,,,,
RR Pant,0.0,1.0,0.0,3.0,6.0,4.0,3.0,6.0,34.0,20.0,97.0,44.0,0.0,3.0,4.0,2.0,36.0,22.0,45.0,34.0
GJ Maxwell,0.0,2.0,10.0,12.0,40.0,18.0,31.0,18.0,0.0,2.0,6.0,11.0,20.0,11.0,44.0,27.0,47.0,22.0,0.0,4.0
G Gambhir,14.0,12.0,62.0,48.0,71.0,53.0,11.0,11.0,24.0,19.0,14.0,16.0,8.0,18.0,21.0,17.0,32.0,21.0,12.0,16.0
JJ Roy,14.0,13.0,31.0,21.0,14.0,7.0,,,,,,,,,,,,,,
C Munro,,,,,,,,,,,,,,,,,,,,
V Shankar,1.0,2.0,15.0,13.0,63.0,44.0,22.0,18.0,,,,,,,,,,,,
DT Christian,17.0,8.0,1.0,3.0,8.0,8.0,16.0,8.0,17.0,8.0,9.0,10.0,4.0,2.0,3.0,3.0,4.0,2.0,,
NV Ojha,9.0,10.0,11.0,12.0,34.0,22.0,9.0,9.0,16.0,17.0,,,,,,,,,,
Mohammed Shami,0.0,1.0,2.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,21.0,9.0,,,,,,,,
A Mishra,8.0,14.0,4.0,11.0,9.0,15.0,8.0,2.0,13.0,10.0,7.0,4.0,,,,,,,,
R Tewatia,15.0,8.0,4.0,3.0,,,,,,,,,,,,,,,,
AR Patel,44.0,29.0,7.0,12.0,4.0,6.0,34.0,18.0,16.0,9.0,38.0,20.0,2.0,1.0,8.0,10.0,19.0,13.0,22.0,21.0
Avesh Khan,,,,,,,,,,,,,,,,,,,,
S Nadeem,0.0,2.0,0.0,1.0,2.0,6.0,,,,,,,,,,,,,,
TA Boult,5.0,8.0,,,,,,,,,,,,,,,,,,
