player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
SS Iyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Morris,21.0,4.0,3.0,19.0,2.0,1.0,23.0,4.0,3.0,30.0,4.0,0.0,26.0,4.0,4.0,33.0,4.0,0.0,39.0,3.0,0.0,13.0,2.0,0.0,36.0,4.0,0.0,,,
RR Pant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ Maxwell,18.0,1.0,0.0,7.0,1.0,0.0,29.0,4.0,2.0,12.0,4.0,1.0,15.0,3.0,2.0,21.0,2.0,1.0,8.0,2.0,1.0,15.0,2.0,0.0,,,,,,
G Gambhir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Munro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Shankar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT Christian,6.0,1.0,1.0,31.0,4.0,1.0,25.0,4.0,1.0,27.0,3.0,1.0,23.0,3.0,1.0,21.0,3.0,0.0,18.0,2.0,1.0,10.0,2.0,2.0,33.0,4.0,0.0,34.0,4.0,2.0
NV Ojha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Shami,28.0,3.0,0.0,19.0,2.0,0.0,36.0,4.0,2.0,40.0,3.0,0.0,16.0,2.0,0.0,36.0,4.0,1.0,37.0,4.0,2.0,31.0,4.0,0.0,,,,,,
A Mishra,33.0,3.0,0.0,18.0,4.0,2.0,36.0,3.0,0.0,9.0,1.0,0.0,23.0,4.0,1.0,23.0,2.0,0.0,37.0,4.0,1.0,27.0,2.0,1.0,26.0,3.0,0.0,26.0,2.0,0.0
R Tewatia,18.0,4.0,2.0,17.0,2.0,1.0,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
AR Patel,33.0,4.0,2.0,20.0,2.0,0.0,36.0,4.0,2.0,34.0,3.0,0.0,22.0,4.0,1.0,11.0,3.0,3.0,29.0,3.0,0.0,28.0,4.0,0.0,28.0,3.0,1.0,13.0,2.0,1.0
Avesh Khan,23.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Nadeem,13.0,4.0,1.0,23.0,4.0,1.0,13.0,2.0,2.0,9.0,0.5,0.0,28.0,2.0,0.0,21.0,3.0,1.0,12.0,2.0,1.0,,,,,,,,,
TA Boult,40.0,4.0,1.0,47.0,3.5,0.0,36.0,4.0,0.0,33.0,4.0,1.0,29.0,4.0,2.0,30.0,4.0,1.0,,,,,,,,,,,,
