player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
AR Patel,44.0,29.0,7.0,12.0,4.0,6.0,34.0,18.0,16.0,9.0,38.0,20.0,2.0,1.0,8.0,10.0,19.0,13.0,22.0,21.0
Yuvraj Singh,5.0,8.0,26.0,18.0,0.0,1.0,3.0,4.0,15.0,12.0,6.0,7.0,70.0,43.0,47.0,44.0,9.0,12.0,9.0,9.0
KK Nair,33.0,24.0,5.0,15.0,15.0,18.0,11.0,10.0,39.0,20.0,12.0,12.0,21.0,15.0,30.0,15.0,64.0,45.0,26.0,22.0
CH Gayle,32.0,23.0,6.0,9.0,22.0,28.0,77.0,40.0,7.0,18.0,8.0,12.0,0.0,2.0,0.0,1.0,48.0,39.0,,
DA Miller,30.0,27.0,28.0,20.0,24.0,29.0,1.0,6.0,,,,,,,,,,,,
AJ Finch,31.0,15.0,13.0,12.0,72.0,36.0,0.0,3.0,1.0,4.0,13.0,7.0,27.0,19.0,2.0,2.0,69.0,40.0,2.0,3.0
MP Stoinis,9.0,13.0,1.0,3.0,7.0,9.0,,,,,,,,,,,,,,
MA Agarwal,6.0,6.0,0.0,4.0,20.0,19.0,,,,,,,,,,,,,,
AS Rajpoot,4.0,7.0,,,,,,,,,,,,,,,,,,
MK Tiwary,17.0,8.0,22.0,13.0,1.0,2.0,44.0,37.0,0.0,3.0,8.0,9.0,9.0,5.0,60.0,46.0,58.0,48.0,7.0,8.0
MM Sharma,10.0,8.0,13.0,14.0,10.0,6.0,4.0,3.0,2.0,4.0,6.0,4.0,6.0,12.0,,,,,,
BB Sran,,,,,,,,,,,,,,,,,,,,
AJ Tye,6.0,6.0,22.0,12.0,25.0,12.0,,,,,,,,,,,,,,
AD Nath,0.0,1.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
