player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
Sandeep Sharma,33.0,24.0,2.0,26.0,24.0,1.0,27.0,18.0,0.0,41.0,24.0,1.0,35.0,24.0,1.0,39.0,18.0,0.0,40.0,24.0,2.0,,,,20.0,24.0,3.0,22.0,24.0,3.0,29.0,24.0,2.0,31.0,24.0,0.0,42.0,24.0,1.0,12.0,12.0,0.0,,,,,,,,,,,,
MM Sharma,34.0,24.0,0.0,47.0,24.0,0.0,30.0,18.0,0.0,37.0,24.0,1.0,25.0,24.0,2.0,29.0,15.0,1.0,25.0,24.0,1.0,34.0,18.0,1.0,3.0,7.0,0.0,24.0,24.0,2.0,35.0,24.0,0.0,24.0,18.0,2.0,57.0,24.0,2.0,6.0,6.0,0.0,,,,,,,,,,,,
AR Patel,27.0,24.0,0.0,12.0,24.0,1.0,36.0,24.0,1.0,33.0,24.0,1.0,33.0,24.0,2.0,20.0,12.0,0.0,36.0,24.0,2.0,34.0,18.0,0.0,22.0,24.0,1.0,11.0,18.0,3.0,29.0,18.0,0.0,28.0,24.0,0.0,28.0,18.0,1.0,13.0,12.0,1.0,,,,,,,,,,,,
T Natarajan,26.0,18.0,1.0,13.0,6.0,0.0,,,,,,,,,,,,,22.0,18.0,0.0,,,,7.0,12.0,0.0,15.0,6.0,0.0,32.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,
MP Stoinis,27.0,18.0,1.0,28.0,18.0,0.0,14.0,9.0,0.0,,,,,,,28.0,12.0,1.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swapnil Singh,14.0,12.0,0.0,,,,,,,,,,,,,22.0,12.0,0.0,,,,,,,,,,,,,,,,19.0,12.0,0.0,,,,6.0,6.0,0.0,,,,,,,,,,,,
HM Amla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Vohra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP Saha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ Maxwell,,,,,,,18.0,6.0,0.0,7.0,6.0,0.0,,,,,,,,,,29.0,24.0,2.0,12.0,24.0,1.0,15.0,18.0,2.0,21.0,12.0,1.0,,,,8.0,12.0,1.0,15.0,12.0,0.0,,,,,,,,,,,,
DA Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR Aaron,,,,21.0,24.0,2.0,23.0,12.0,1.0,45.0,24.0,2.0,,,,,,,,,,,,,3.0,12.0,2.0,28.0,24.0,0.0,43.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,
I Sharma,,,,,,,15.0,12.0,0.0,,,,21.0,24.0,0.0,58.0,24.0,0.0,,,,41.0,24.0,0.0,,,,,,,,,,,,,29.0,18.0,0.0,12.0,6.0,0.0,,,,,,,,,,,,
KC Cariappa,,,,,,,,,,23.0,18.0,1.0,38.0,24.0,1.0,,,,24.0,24.0,1.0,42.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJG Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anureet Singh,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ Guptill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Tewatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,24.0,2.0,17.0,12.0,1.0,14.0,18.0,0.0,,,,,,,,,,,,
MJ Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,18.0,1.0,40.0,12.0,0.0,,,,,,,,,,,,,,,
