player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
RG Sharma,58.0,40.0,5.0,13.0,56.0,39.0,10.0,6.0,67.0,45.0,5.0,7.0,27.0,22.0,1.0,2.0,26.0,24.0,24.0,23.0
JJ Bumrah,0.0,1.0,16.0,11.0,,,,,,,,,,,,,,,,
HH Pandya,24.0,23.0,13.0,12.0,4.0,5.0,14.0,10.0,29.0,17.0,15.0,25.0,30.0,14.0,1.0,3.0,14.0,10.0,10.0,9.0
KA Pollard,9.0,9.0,25.0,14.0,17.0,13.0,63.0,38.0,5.0,11.0,50.0,26.0,13.0,11.0,7.0,10.0,9.0,10.0,7.0,3.0
Mustafizur Rahman,,,,,,,,,,,,,,,,,,,,
SA Yadav,17.0,15.0,4.0,3.0,7.0,9.0,1.0,1.0,15.0,19.0,30.0,16.0,31.0,26.0,,,,,,
KH Pandya,11.0,6.0,37.0,20.0,37.0,32.0,17.0,16.0,29.0,20.0,2.0,2.0,0.0,1.0,15.0,12.0,45.0,30.0,47.0,41.0
Ishan Kishan,11.0,14.0,39.0,17.0,4.0,11.0,16.0,11.0,48.0,38.0,31.0,24.0,4.0,7.0,29.0,24.0,34.0,27.0,61.0,41.0
RD Chahar,3.0,2.0,,,,,,,,,,,,,,,,,,
SS Tiwary,52.0,46.0,,,,,,,,,,,,,,,,,,
BCJ Cutting,16.0,6.0,20.0,11.0,15.0,10.0,,,,,,,,,,,,,,
PJ Sangwan,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,
AP Tare,18.0,18.0,0.0,6.0,0.0,1.0,,,,,,,,,,,,,,
AF Milne,2.0,3.0,5.0,8.0,0.0,1.0,,,,,,,,,,,,,,
MJ McClenaghan,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,,,,,,,,,,
