player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
RG Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Bumrah,29.0,4.0,2.0,32.0,4.0,2.0,3.0,1.0,0.0,33.0,4.0,1.0,6.0,1.0,1.0,24.0,3.2,1.0,24.0,4.0,1.0,33.0,4.0,0.0,7.0,3.0,3.0,26.0,4.0,2.0
HH Pandya,15.0,1.0,0.0,18.0,2.0,0.0,23.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,13.0,1.0,0.0,29.0,2.0,0.0,22.0,4.0,2.0,15.0,1.0,0.0,4.0,1.0,0.0
KA Pollard,30.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustafizur Rahman,34.0,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH Pandya,21.0,4.0,1.0,18.0,3.0,0.0,29.0,4.0,1.0,8.0,1.0,0.0,14.0,4.0,2.0,34.0,4.0,2.0,14.0,2.0,0.0,22.0,4.0,0.0,25.0,3.0,0.0,31.0,4.0,0.0
Ishan Kishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Chahar,32.0,4.0,1.0,26.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
SS Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCJ Cutting,35.0,3.4,0.0,29.0,3.0,0.0,18.0,2.0,0.0,41.0,4.0,1.0,,,,,,,,,,,,,,,,,,
PJ Sangwan,38.0,4.0,2.0,43.0,4.0,1.0,28.0,3.0,1.0,35.0,3.0,1.0,37.0,4.0,0.0,,,,,,,,,,,,,,,
AP Tare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF Milne,27.0,4.0,2.0,41.0,4.0,1.0,35.0,4.0,0.0,29.0,2.0,0.0,,,,,,,,,,,,,,,,,,
MJ McClenaghan,23.0,4.0,2.0,46.0,4.0,2.0,24.0,4.0,3.0,36.0,4.0,0.0,49.0,4.0,0.0,34.0,4.0,3.0,18.0,2.0,1.0,26.0,4.0,1.0,54.0,4.0,1.0,46.0,4.0,1.0
