player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
PA Patel,19.0,15.0,30.0,29.0,39.0,24.0,3.0,9.0,0.0,2.0,37.0,20.0,8.0,13.0,33.0,28.0,70.0,45.0,0.0,1.0,25.0,23.0,23.0,18.0,38.0,24.0,,,52.0,42.0,14.0,9.0,4.0,6.0
JC Buttler,38.0,19.0,28.0,26.0,14.0,11.0,2.0,5.0,26.0,24.0,77.0,38.0,28.0,20.0,17.0,13.0,10.0,9.0,33.0,21.0,,,,,,,,,,,,,,
RG Sharma,3.0,7.0,2.0,6.0,4.0,4.0,0.0,2.0,40.0,29.0,,,5.0,9.0,58.0,40.0,5.0,13.0,56.0,39.0,10.0,6.0,67.0,45.0,5.0,7.0,27.0,22.0,1.0,2.0,26.0,24.0,24.0,23.0
N Rana,34.0,29.0,50.0,30.0,45.0,37.0,11.0,16.0,53.0,42.0,62.0,36.0,8.0,9.0,3.0,9.0,19.0,16.0,27.0,29.0,,,9.0,12.0,12.0,12.0,,,,,,,,
AT Rayudu,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,63.0,37.0,0.0,3.0,6.0,12.0,12.0,16.0
KH Pandya,3.0,6.0,11.0,6.0,37.0,20.0,37.0,32.0,,,,,17.0,16.0,,,29.0,20.0,2.0,2.0,,,,,,,0.0,1.0,15.0,12.0,45.0,30.0,47.0,41.0
KA Pollard,27.0,17.0,17.0,17.0,11.0,11.0,70.0,49.0,39.0,24.0,,,26.0,31.0,9.0,9.0,25.0,14.0,17.0,13.0,63.0,38.0,5.0,11.0,50.0,26.0,13.0,11.0,7.0,10.0,9.0,10.0,7.0,3.0
HH Pandya,35.0,17.0,29.0,11.0,2.0,3.0,9.0,5.0,6.0,4.0,15.0,4.0,24.0,23.0,13.0,12.0,4.0,5.0,14.0,10.0,29.0,17.0,15.0,25.0,30.0,14.0,1.0,3.0,14.0,10.0,,,10.0,9.0
TG Southee,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ McClenaghan,,,,,,,0.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,,12.0,12.0,,,,
JJ Bumrah,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,16.0,11.0,,,,
SL Malinga,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,7.0,2.0,,,,
Harbhajan Singh,,,1.0,1.0,3.0,3.0,,,,,,,2.0,2.0,7.0,2.0,0.0,1.0,,,,,1.0,4.0,2.0,4.0,,,,,,,,
MG Johnson,,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,,,,13.0,14.0
KV Sharma,,,,,,,,,,,,,,,11.0,10.0,,,9.0,8.0,,,5.0,5.0,19.0,6.0,,,4.0,8.0,,,1.0,5.0
LMP Simmons,,,,,,,,,,,,,,,,,,,,,66.0,44.0,1.0,5.0,59.0,33.0,0.0,5.0,5.0,15.0,3.0,6.0,3.0,8.0
SS Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,46.0,,,,,,
R Vinay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
