player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,m11r,m11o,m11w,m12r,m12o,m12w,m13r,m13o,m13w,m14r,m14o,m14w,m15r,m15o,m15w,m16r,m16o,m16w,m17r,m17o,m17w,m18r,m18o,m18w
PA Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC Buttler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH Pandya,21.0,12.0,0.0,24.0,24.0,3.0,12.0,6.0,0.0,21.0,24.0,1.0,18.0,18.0,0.0,29.0,24.0,1.0,8.0,6.0,0.0,,,,14.0,24.0,2.0,,,,34.0,24.0,2.0,,,,,,,,,,14.0,12.0,0.0,22.0,24.0,0.0,25.0,18.0,0.0,31.0,24.0,0.0
KA Pollard,30.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH Pandya,36.0,24.0,1.0,,,,22.0,18.0,1.0,9.0,12.0,1.0,15.0,6.0,0.0,18.0,12.0,0.0,23.0,18.0,1.0,,,,,,,,,,5.0,6.0,0.0,2.0,6.0,0.0,13.0,6.0,0.0,29.0,12.0,0.0,22.0,24.0,2.0,15.0,6.0,0.0,4.0,6.0,0.0,,,
TG Southee,34.0,24.0,1.0,,,,,,,23.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,24.0,2.0,,,,,,,,,
MJ McClenaghan,36.0,24.0,1.0,51.0,24.0,1.0,42.0,24.0,1.0,20.0,24.0,2.0,23.0,24.0,2.0,46.0,24.0,2.0,24.0,24.0,3.0,36.0,24.0,0.0,49.0,24.0,0.0,,,,34.0,24.0,3.0,18.0,12.0,1.0,26.0,24.0,1.0,54.0,24.0,1.0,,,,46.0,24.0,1.0,,,,,,
JJ Bumrah,29.0,24.0,0.0,39.0,24.0,1.0,24.0,24.0,2.0,39.0,24.0,0.0,45.0,24.0,0.0,30.0,24.0,1.0,21.0,24.0,2.0,29.0,24.0,2.0,32.0,24.0,2.0,3.0,6.0,0.0,33.0,24.0,1.0,6.0,6.0,1.0,24.0,20.0,1.0,24.0,24.0,1.0,,,,33.0,24.0,0.0,7.0,18.0,3.0,26.0,24.0,2.0
SL Malinga,,,,36.0,24.0,2.0,30.0,24.0,1.0,,,,51.0,24.0,1.0,58.0,24.0,0.0,,,,,,,33.0,24.0,2.0,,,,31.0,24.0,0.0,5.0,12.0,2.0,33.0,24.0,1.0,45.0,24.0,0.0,,,,14.0,18.0,1.0,24.0,23.0,1.0,21.0,24.0,0.0
Harbhajan Singh,,,,27.0,24.0,0.0,23.0,24.0,2.0,23.0,24.0,0.0,22.0,24.0,1.0,12.0,12.0,0.0,26.0,24.0,0.0,20.0,24.0,1.0,23.0,24.0,1.0,,,,,,,22.0,24.0,3.0,23.0,24.0,0.0,45.0,18.0,0.0,,,,,,,,,,,,
MG Johnson,,,,,,,,,,,,,,,,,,,23.0,24.0,0.0,34.0,24.0,1.0,,,,,,,,,,,,,,,,,,,30.0,24.0,1.0,,,,28.0,24.0,2.0,26.0,24.0,3.0
KV Sharma,,,,,,,,,,,,,,,,,,,,,,39.0,24.0,1.0,,,,,,,22.0,18.0,1.0,11.0,22.0,3.0,19.0,12.0,0.0,32.0,18.0,1.0,26.0,18.0,1.0,30.0,24.0,1.0,16.0,24.0,4.0,18.0,24.0,0.0
LMP Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Vinay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,18.0,2.0,,,,,,,,,
