player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
V Kohli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB McCullum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR Woakes,49.0,4.0,1.0,31.0,4.0,1.0,20.0,2.0,1.0,6.0,2.0,3.0,38.0,3.0,0.0,20.0,3.0,0.0,46.0,4.0,1.0,18.0,4.0,3.0,39.0,4.0,1.0,20.0,4.0,2.0
C de Grandhomme,15.0,2.0,1.0,12.0,1.0,0.0,4.0,1.4,3.0,14.0,2.0,0.0,15.0,1.0,0.0,7.0,0.2,0.0,15.0,2.0,0.0,37.0,4.0,0.0,16.0,2.0,0.0,,,
UT Yadav,15.0,3.0,1.0,28.0,3.0,1.0,38.0,4.0,1.0,30.0,4.0,0.0,23.0,4.0,1.0,36.0,4.0,3.0,26.0,3.0,1.0,40.0,4.0,0.0,21.0,4.0,2.0,23.0,2.3,1.0
YS Chahal,31.0,3.0,1.0,11.0,1.0,0.0,31.0,4.0,3.0,16.0,4.0,3.0,29.0,3.0,0.0,25.0,2.0,0.0,36.0,4.0,1.0,21.0,4.0,2.0,39.0,4.0,1.0,24.0,3.0,0.0
M Vohra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Choudhary,55.0,4.0,1.0,21.0,2.0,0.0,32.0,4.0,1.0,17.0,4.0,2.0,19.0,2.5,1.0,,,,,,,,,,,,,,,
Mandeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Sundar,19.0,3.0,0.0,26.0,4.0,1.0,32.0,3.0,0.0,7.0,2.0,1.0,12.0,2.0,0.0,18.0,2.0,2.0,19.0,3.0,0.0,23.0,3.0,1.0,16.0,4.0,3.0,13.0,4.0,0.0
P Negi,28.0,2.0,0.0,11.0,3.0,1.0,21.0,4.0,1.0,15.0,3.0,2.0,24.0,2.0,1.0,18.0,4.0,1.0,17.0,4.0,2.0,21.0,3.0,1.0,21.0,3.1,2.0,10.0,2.0,3.0
Mohammed Siraj,39.0,4.0,2.0,42.0,4.0,0.0,26.0,4.0,2.0,41.0,4.0,2.0,32.0,3.0,0.0,32.0,4.0,4.0,,,,,,,,,,,,
PA Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG Southee,34.0,4.0,1.0,23.0,2.0,0.0,39.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,
CJ Anderson,10.0,1.0,0.0,23.0,3.0,1.0,27.0,2.5,0.0,36.0,3.0,1.0,29.0,2.0,1.0,19.0,2.0,0.0,4.0,1.0,0.0,38.0,4.0,0.0,,,,,,
