player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
SPD Smith,17.0,12.0,51.0,37.0,45.0,32.0,4.0,2.0,9.0,9.0,34.0,40.0,38.0,35.0,15.0,18.0,1.0,2.0,51.0,53.0
RA Tripathi,45.0,31.0,38.0,25.0,37.0,29.0,6.0,7.0,93.0,54.0,1.0,4.0,7.0,6.0,28.0,21.0,0.0,2.0,3.0,8.0
AM Rahane,38.0,33.0,46.0,42.0,6.0,8.0,4.0,4.0,11.0,9.0,22.0,20.0,0.0,1.0,34.0,34.0,56.0,44.0,44.0,38.0
STR Binny,11.0,10.0,16.0,19.0,18.0,20.0,6.0,4.0,18.0,8.0,8.0,9.0,1.0,7.0,,,,,,
BA Stokes,50.0,34.0,2.0,5.0,25.0,18.0,2.0,3.0,10.0,9.0,17.0,12.0,103.0,64.0,14.0,15.0,39.0,26.0,33.0,26.0
SV Samson,42.0,33.0,9.0,6.0,60.0,38.0,5.0,15.0,24.0,19.0,61.0,31.0,0.0,1.0,10.0,7.0,2.0,4.0,0.0,2.0
JC Buttler,38.0,19.0,28.0,26.0,14.0,11.0,2.0,5.0,26.0,24.0,77.0,38.0,28.0,20.0,17.0,13.0,10.0,9.0,33.0,21.0
DS Kulkarni,1.0,2.0,,,,,,,,,,,,,,,,,,
JD Unadkat,2.0,5.0,,,,,,,,,,,,,,,,,,
Ankit Sharma,25.0,16.0,,,,,,,,,,,,,,,,,,
Anureet Singh,15.0,12.0,,,,,,,,,,,,,,,,,,
