player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
SPD Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Tripathi,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR Binny,10.0,1.0,1.0,14.0,2.0,1.0,9.0,1.0,1.0,17.0,2.0,1.0,,,,,,,,,,,,,,,,,,
BA Stokes,41.0,4.0,0.0,18.0,3.0,0.0,18.0,4.0,3.0,19.0,2.0,0.0,21.0,4.0,2.0,36.0,4.0,0.0,24.0,4.0,1.0,30.0,4.0,3.0,31.0,4.0,2.0,10.0,3.0,0.0
SV Samson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC Buttler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Kulkarni,42.0,2.5,0.0,17.0,2.0,0.0,37.0,4.0,1.0,23.0,2.0,0.0,24.0,4.0,1.0,30.0,4.0,0.0,,,,,,,,,,,,
JD Unadkat,40.0,4.0,1.0,26.0,3.0,1.0,19.0,4.0,1.0,29.0,3.5,3.0,28.0,4.0,1.0,30.0,4.0,4.0,29.0,4.0,2.0,12.0,3.0,2.0,24.0,4.0,1.0,19.0,4.0,1.0
Ankit Sharma,16.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anureet Singh,26.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
