player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
DA Warner,70.0,57.0,4.0,7.0,43.0,42.0,51.0,27.0,126.0,60.0,30.0,21.0,40.0,34.0,6.0,6.0,69.0,52.0,37.0,35.0
B Kumar,4.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,
S Dhawan,15.0,15.0,70.0,50.0,30.0,29.0,77.0,50.0,29.0,33.0,28.0,17.0,19.0,12.0,62.0,46.0,18.0,12.0,11.0,13.0
Shakib Al Hasan,1.0,1.0,,,,,,,,,,,,,,,,,,
KS Williamson,89.0,52.0,21.0,14.0,54.0,27.0,40.0,25.0,24.0,24.0,4.0,2.0,24.0,26.0,,,,,,
MK Pandey,46.0,36.0,69.0,52.0,24.0,21.0,15.0,16.0,5.0,4.0,39.0,30.0,37.0,32.0,4.0,3.0,18.0,23.0,33.0,33.0
CR Brathwaite,1.0,5.0,11.0,11.0,,,,,,,,,,,,,,,,
YK Pathan,21.0,17.0,59.0,40.0,11.0,4.0,8.0,9.0,12.0,14.0,4.0,9.0,0.0,6.0,2.0,3.0,20.0,9.0,0.0,1.0
WP Saha,25.0,17.0,7.0,5.0,0.0,2.0,11.0,16.0,10.0,5.0,2.0,4.0,21.0,25.0,38.0,34.0,93.0,59.0,13.0,18.0
Rashid Khan,2.0,4.0,6.0,1.0,3.0,4.0,,,,,,,,,,,,,,
DJ Hooda,16.0,12.0,9.0,10.0,13.0,7.0,12.0,10.0,9.0,4.0,19.0,10.0,,,,,,,,
S Kaul,0.0,2.0,,,,,,,,,,,,,,,,,,
T Natarajan,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,2.0,3.0,,,,,,,,,,,,,,,,,,
Basil Thampi,13.0,8.0,0.0,1.0,11.0,12.0,2.0,4.0,2.0,5.0,,,,,,,,,,
Sandeep Sharma,2.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,
Sachin Baby,1.0,3.0,2.0,4.0,12.0,10.0,,,,,,,,,,,,,,
CJ Jordan,0.0,1.0,,,,,,,,,,,,,,,,,,
B Stanlake,,,,,,,,,,,,,,,,,,,,
Bipul Sharma,21.0,14.0,8.0,8.0,2.0,3.0,,,,,,,,,,,,,,
