player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
DA Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Kumar,19.0,4.0,5.0,29.0,4.0,0.0,39.0,4.0,1.0,27.0,4.0,2.0,29.0,4.0,1.0,33.0,4.0,1.0,39.0,4.0,0.0,29.0,4.0,2.0,25.0,3.2,2.0,11.0,1.0,1.0
S Dhawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakib Al Hasan,31.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR Brathwaite,28.0,2.0,0.0,38.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
YK Pathan,15.0,1.0,0.0,2.0,1.0,1.0,17.0,1.0,0.0,7.0,1.0,0.0,,,,,,,,,,,,,,,,,,
WP Saha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,42.0,4.0,2.0,33.0,4.0,0.0,17.0,4.0,1.0,16.0,4.0,1.0,38.0,4.0,1.0,24.0,4.0,0.0,18.0,4.0,1.0,22.0,4.0,1.0,34.0,4.0,3.0,11.0,2.0,0.0
DJ Hooda,7.0,1.0,1.0,18.0,2.0,1.0,17.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
S Kaul,25.0,3.4,1.0,32.0,4.0,1.0,45.0,3.0,0.0,36.0,4.0,3.0,26.0,4.0,2.0,38.0,4.0,1.0,29.0,4.0,4.0,24.0,4.0,3.0,30.0,4.0,1.0,14.0,1.0,0.0
T Natarajan,26.0,3.0,1.0,13.0,1.0,0.0,22.0,3.0,0.0,7.0,2.0,0.0,15.0,1.0,0.0,32.0,2.4,1.0,,,,,,,,,,,,
Mohammad Nabi,28.0,4.0,1.0,13.0,4.0,1.0,17.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,33.0,4.0,0.0,31.0,4.0,1.0,44.0,4.0,1.0,44.0,4.0,0.0,34.0,4.0,1.0,29.0,4.0,3.0,35.0,4.0,2.0,40.0,4.0,1.0,48.0,4.0,1.0,43.0,3.4,1.0
Sandeep Sharma,41.0,4.0,1.0,35.0,4.0,1.0,39.0,3.0,0.0,40.0,4.0,2.0,20.0,4.0,3.0,22.0,4.0,3.0,29.0,4.0,2.0,31.0,4.0,0.0,42.0,4.0,1.0,12.0,2.0,0.0
Sachin Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Jordan,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Stanlake,29.0,4.0,2.0,41.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bipul Sharma,4.0,1.0,1.0,24.0,4.0,0.0,20.0,2.0,0.0,30.0,4.0,1.0,10.0,1.0,0.0,39.0,4.0,1.0,2.0,0.2,0.0,,,,,,,,,
