player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
MS Dhoni,40.0,29.0,10.0,13.0,5.0,5.0,25.0,28.0,79.0,44.0,5.0,3.0,25.0,12.0,70.0,34.0,26.0,21.0,51.0,22.0,1.11,33.6,159.25,2.1065000000000005
SK Raina,39.0,25.0,6.0,5.0,2.0,5.0,4.0,6.0,14.0,12.0,46.0,29.0,54.0,43.0,11.0,9.0,75.0,47.0,1.0,2.0,0.7,25.2,137.71,1.56342
RA Jadeja,19.0,12.0,18.0,7.0,7.0,8.0,13.0,7.0,20.0,15.0,12.0,13.0,11.0,7.0,19.0,13.0,2.0,1.0,3.0,5.0,0.0,12.4,140.91,0.77782
F du Plessis,8.0,7.0,11.0,13.0,33.0,33.0,,,,,,,,,,,,,,,0.67,17.34,98.12,1.15784
Harbhajan Singh,1.0,1.0,3.0,3.0,2.0,2.0,7.0,2.0,0.0,1.0,1.0,4.0,2.0,4.0,8.0,5.0,,,,,0.0,3.0,109.1,0.3382
DM Bravo,6.0,5.0,68.0,30.0,11.0,5.0,1.0,1.0,24.0,16.0,14.0,7.0,0.0,1.0,,,,,,,0.15,17.72,190.77,1.15034
SR Watson,3.0,6.0,4.0,5.0,16.0,14.0,42.0,19.0,11.0,9.0,106.0,57.0,9.0,15.0,7.0,4.0,12.0,11.0,78.0,40.0,0.5,28.8,160.0,1.672
AT Rayudu,6.0,12.0,12.0,16.0,22.0,19.0,39.0,26.0,49.0,35.0,12.0,8.0,79.0,37.0,82.0,53.0,46.0,35.0,41.0,24.0,1.0,38.8,146.42,2.24484
DL Chahar,14.0,6.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,7.0,200.0,0.6799999999999999
M Vijay,12.0,10.0,,,,,,,,,,,,,,,,,,,0.0,12.0,120.0,0.72
SW Billings,24.0,19.0,55.0,41.0,21.0,17.0,13.0,9.0,0.0,2.0,56.0,23.0,9.0,8.0,3.0,7.0,9.0,7.0,3.0,5.0,0.3,19.3,139.86,1.17172
M Wood,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,1.0,33.34,0.10668000000000001
Imran Tahir,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,1.0,50.0,0.14
KV Sharma,11.0,10.0,9.0,8.0,5.0,5.0,19.0,6.0,4.0,8.0,1.0,5.0,,,,,,,,,0.0,8.17,116.67,0.56014
SN Thakur,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
K Jadav,24.0,22.0,,,,,,,,,,,,,,,,,,,0.0,24.0,109.1,1.1782
