player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
MS Dhoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
SK Raina,24.0,2.0,0.0,9.0,1.0,0.0,11.0,2.0,1.0,6.0,1.0,0.0,28.0,4.0,0.0,24.0,2.0,0.0,,,,,,,,,,,,,0.17,8.5,0.166
RA Jadeja,28.0,2.0,1.0,19.0,2.0,0.0,31.0,4.0,0.0,19.0,3.0,0.0,9.0,1.0,0.0,19.0,2.0,1.0,6.0,1.0,0.0,28.0,4.0,0.0,22.0,2.0,0.0,31.0,4.0,1.0,0.5,8.48,0.4304
F du Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Harbhajan Singh,23.0,4.0,1.0,22.0,4.0,3.0,23.0,4.0,0.0,45.0,3.0,0.0,14.0,2.0,0.0,11.0,2.0,1.0,41.0,4.0,1.0,24.0,2.0,0.0,20.0,3.5,1.0,26.0,4.0,0.0,1.0,7.67,0.8466
DM Bravo,25.0,4.0,0.0,50.0,3.0,0.0,37.0,4.0,1.0,16.0,2.0,2.0,37.0,3.0,1.0,33.0,4.0,2.0,21.0,3.0,1.0,43.0,3.0,0.0,,,,,,,1.38,10.08,1.1023999999999998
SR Watson,43.0,4.0,1.0,16.0,4.0,1.0,29.0,4.0,2.0,39.0,4.0,2.0,15.0,2.0,1.0,13.0,3.0,1.0,23.0,2.0,0.0,21.0,2.0,0.0,41.0,4.0,0.0,27.0,2.0,0.0,0.9,8.62,0.7476000000000002
AT Rayudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
DL Chahar,21.0,2.0,0.0,35.0,3.0,1.0,18.0,2.0,0.0,14.0,3.0,1.0,18.0,1.0,0.0,37.0,3.0,0.0,30.0,4.0,2.0,15.0,4.0,3.0,20.0,2.0,0.0,19.0,2.1,0.0,1.2,8.7,0.986
M Vijay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
SW Billings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
M Wood,49.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.25,-0.04500000000000002
Imran Tahir,18.0,4.0,3.0,27.0,4.0,2.0,36.0,4.0,1.0,24.0,4.0,1.0,23.0,2.0,1.0,26.0,4.0,0.0,34.0,4.0,2.0,44.0,4.0,1.0,35.0,4.0,2.0,26.0,2.4,0.0,1.8,8.05,1.479
KV Sharma,22.0,3.0,1.0,11.0,3.4,3.0,19.0,2.0,0.0,32.0,3.0,1.0,26.0,3.0,1.0,30.0,4.0,1.0,16.0,4.0,4.0,18.0,4.0,0.0,13.0,1.3,2.0,30.0,3.0,1.0,2.0,7.07,1.6586
SN Thakur,35.0,3.0,0.0,19.0,4.0,3.0,37.0,4.0,3.0,7.0,2.0,0.0,37.0,4.0,1.0,33.0,3.0,2.0,18.0,3.0,2.0,45.0,4.0,1.0,46.0,4.0,2.0,38.0,4.0,0.0,2.1,9.0,1.7000000000000002
Lungi Ngidi,26.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.5,1.6700000000000002
KM Asif,43.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.34,3.1132
