player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
SS Iyer,3.0,4.0,32.0,31.0,11.0,11.0,0.0,0.0,27.0,20.0,4.0,3.0,52.0,31.0,57.0,45.0,93.0,40.0,13.0,14.0,0.8,29.2,146.74,1.78148
CH Morris,16.0,9.0,16.0,10.0,52.0,42.0,11.0,10.0,2.0,5.0,15.0,7.0,27.0,16.0,17.0,7.0,2.0,3.0,0.0,0.0,0.3,15.8,144.96,1.0419200000000002
RR Pant,36.0,22.0,45.0,34.0,28.0,13.0,20.0,14.0,47.0,25.0,43.0,26.0,85.0,48.0,4.0,7.0,0.0,1.0,79.0,45.0,1.0,38.71,164.69,2.27778
GJ Maxwell,44.0,27.0,47.0,22.0,0.0,4.0,17.0,12.0,13.0,6.0,47.0,22.0,4.0,6.0,12.0,10.0,27.0,18.0,6.0,5.0,0.6,21.7,164.4,1.4368
G Gambhir,14.0,16.0,8.0,18.0,21.0,17.0,32.0,21.0,12.0,16.0,55.0,42.0,15.0,16.0,8.0,7.0,3.0,10.0,4.0,13.0,0.3,17.2,97.73,1.00346
JJ Roy,14.0,13.0,31.0,21.0,14.0,7.0,91.0,53.0,1.0,3.0,5.0,16.0,,,,,,,,,0.5,26.0,138.06,1.51612
C Munro,4.0,6.0,0.0,0.0,33.0,18.0,26.0,16.0,,,,,,,,,,,,,1.0,15.75,157.5,1.345
V Shankar,1.0,2.0,15.0,13.0,63.0,44.0,22.0,18.0,13.0,13.0,3.0,3.0,2.0,4.0,54.0,31.0,,,,,0.38,21.63,135.16,1.2875199999999998
DT Christian,1.0,3.0,8.0,8.0,16.0,8.0,17.0,8.0,9.0,10.0,4.0,2.0,3.0,3.0,4.0,2.0,13.0,13.0,6.0,11.0,0.0,8.1,119.12,0.5622400000000001
NV Ojha,9.0,10.0,11.0,12.0,34.0,22.0,9.0,9.0,16.0,17.0,,,,,,,,,,,0.4,15.8,112.86,1.0177200000000002
Mohammed Shami,0.0,1.0,2.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,21.0,9.0,7.0,6.0,,,,,,,0.0,6.15,143.34,0.53268
A Mishra,8.0,14.0,4.0,11.0,9.0,15.0,8.0,2.0,13.0,10.0,7.0,4.0,1.0,2.0,,,,,,,0.0,7.15,86.21,0.45842000000000005
R Tewatia,15.0,8.0,4.0,3.0,9.0,7.0,1.0,2.0,13.0,9.0,24.0,21.0,3.0,4.0,,,,,,,0.0,9.86,127.78,0.6499600000000001
HR Patel,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Avesh Khan,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
S Nadeem,0.0,2.0,0.0,1.0,2.0,6.0,6.0,8.0,,,,,,,,,,,,,0.0,2.0,47.06,0.17412000000000002
TA Boult,5.0,8.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,2.5,50.0,0.2
Prithvi Shaw,22.0,10.0,62.0,44.0,9.0,5.0,,,,,,,,,,,,,,,0.67,31.0,157.63,1.8232600000000003
Liam Plunkett,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
