player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
KD Karthik,40.0,29.0,0.0,1.0,35.0,29.0,26.0,25.0,29.0,27.0,19.0,10.0,42.0,23.0,43.0,28.0,18.0,18.0,23.0,10.0,0.8,27.5,137.5,1.6950000000000003
CA Lynn,6.0,2.0,4.0,8.0,5.0,8.0,22.0,16.0,49.0,34.0,31.0,29.0,0.0,2.0,74.0,41.0,5.0,6.0,62.0,52.0,0.7,25.8,130.31,1.5726200000000001
N Rana,9.0,12.0,12.0,12.0,34.0,25.0,16.0,14.0,18.0,16.0,59.0,35.0,35.0,27.0,3.0,5.0,8.0,7.0,15.0,10.0,0.5,20.9,128.23,1.2924600000000002
PP Chawla,2.0,6.0,0.0,3.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,0.0,1.5,40.0,0.14
RV Uthappa,1.0,3.0,1.0,3.0,13.0,12.0,29.0,16.0,3.0,8.0,35.0,19.0,48.0,36.0,34.0,23.0,1.0,2.0,36.0,21.0,0.9,20.11,140.56,1.4455200000000001
SP Narine,0.0,4.0,10.0,10.0,50.0,19.0,12.0,4.0,9.0,10.0,1.0,4.0,35.0,25.0,1.0,4.0,26.0,9.0,27.0,19.0,0.7,17.11,158.34,1.28108
MG Johnson,7.0,3.0,13.0,14.0,4.0,5.0,12.0,6.0,,,,,,,,,,,,,0.0,9.0,128.58,0.61716
Kuldeep Yadav,4.0,7.0,16.0,15.0,7.0,6.0,,,,,,,,,,,,,,,0.0,9.0,96.43,0.5528600000000001
R Vinay Kumar,6.0,3.0,,,,,,,,,,,,,,,,,,,0.0,6.0,200.0,0.64
Rinku Singh,6.0,6.0,2.0,4.0,,,,,,,,,,,,,,,,,0.0,4.0,80.0,0.32000000000000006
Andre Russell,15.0,11.0,88.0,36.0,9.0,5.0,41.0,12.0,10.0,7.0,44.0,30.0,0.0,1.0,,,,,,,0.72,29.58,202.95,1.8771
Tom Curran,2.0,5.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,0.0,1.67,45.46,0.15772
S Gill,3.0,9.0,6.0,5.0,14.0,8.0,37.0,29.0,5.0,2.0,,,,,,,,,,,0.4,13.0,122.65,0.9253000000000001
S Mavi,7.0,8.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,0.0,2.34,63.64,0.22088000000000002
