player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
KD Karthik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CA Lynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
N Rana,11.0,1.0,2.0,11.0,2.0,2.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,7.1,1.6580000000000001
PP Chawla,27.0,3.0,1.0,34.0,4.0,2.0,31.0,4.0,1.0,49.0,4.0,1.0,20.0,4.0,1.0,16.0,2.0,1.0,18.0,4.0,1.0,24.0,2.0,0.0,33.0,4.0,1.0,22.0,3.0,0.0,1.2,8.06,0.9987999999999999
RV Uthappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
SP Narine,20.0,4.0,0.0,21.0,4.0,0.0,30.0,4.0,1.0,17.0,4.0,1.0,17.0,4.0,2.0,18.0,3.0,3.0,48.0,4.0,0.0,23.0,3.0,1.0,35.0,3.0,0.0,38.0,4.0,0.0,1.2,7.22,1.0156
MG Johnson,23.0,4.0,0.0,34.0,4.0,1.0,30.0,4.0,1.0,28.0,4.0,2.0,26.0,4.0,3.0,30.0,4.0,1.0,30.0,3.0,1.0,42.0,4.0,0.0,38.0,3.0,0.0,,,,1.56,8.27,1.2826000000000002
Kuldeep Yadav,34.0,3.0,2.0,25.0,3.0,1.0,33.0,3.0,0.0,27.0,3.0,1.0,23.0,4.0,1.0,32.0,3.2,3.0,23.0,4.0,1.0,13.0,1.0,0.0,22.0,2.0,0.0,20.0,4.0,1.0,1.5,8.35,1.233
R Vinay Kumar,31.0,3.0,2.0,30.0,2.0,2.0,35.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,14.77,1.5046000000000002
Andre Russell,10.0,2.0,0.0,35.0,4.0,0.0,39.0,3.0,0.0,25.0,2.0,1.0,31.0,1.5,0.0,28.0,3.0,1.0,31.0,3.0,3.0,,,,,,,,,,1.43,10.76,1.1287999999999998
Tom Curran,39.0,3.0,2.0,21.0,2.0,1.0,19.0,2.0,2.0,6.0,0.1,0.0,,,,,,,,,,,,,,,,,,,1.75,11.98,1.3604
S Mavi,10.0,1.0,0.0,14.0,2.0,1.0,40.0,4.0,1.0,29.0,3.0,0.0,58.0,4.0,1.0,21.0,3.0,0.0,,,,,,,,,,,,,0.67,10.12,0.5336000000000001
