player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
AR Patel,7,12,4.0,6.0,34.0,18.0,16.0,9.0,38.0,20.0,2.0,1.0,8.0,10.0,19.0,13.0,22.0,21.0,2.0,3.0,0.2,15.2,134.52,0.9570400000000002
Yuvraj Singh,15,12,6.0,7.0,70.0,43.0,47.0,44.0,9.0,12.0,9.0,9.0,12.0,22.0,4.0,4.0,20.0,13.0,14.0,17.0,0.2,20.6,112.57,1.12914
KK Nair,21,15,30.0,15.0,64.0,45.0,26.0,22.0,50.0,33.0,29.0,26.0,29.0,17.0,31.0,21.0,34.0,32.0,13.0,17.0,1.2,32.71,134.57,2.05754
CH Gayle,77,40,7.0,18.0,8.0,12.0,0.0,2.0,0.0,1.0,48.0,39.0,63.0,33.0,104.0,63.0,62.0,38.0,23.0,22.0,0.9,39.21,146.27,2.2209400000000006
DA Miller,30,27,28.0,20.0,24.0,29.0,1.0,6.0,24.0,23.0,26.0,19.0,,,,,,,,,0.67,22.17,107.26,1.36932
AJ Finch,13,7,27.0,19.0,2.0,2.0,69.0,40.0,2.0,3.0,0.0,1.0,0.0,1.0,14.0,6.0,2.0,4.0,8.0,4.0,0.2,13.7,157.48,0.9429599999999999
MP Stoinis,9,13,1.0,3.0,7.0,9.0,22.0,15.0,11.0,9.0,,,,,,,,,,,0.0,10.0,102.05,0.6041000000000001
MA Agarwal,6,6,0.0,4.0,20.0,19.0,7.0,5.0,15.0,11.0,30.0,19.0,18.0,9.0,2.0,2.0,21.0,16.0,12.0,15.0,0.2,13.1,123.59,0.85118
AS Rajpoot,4,7,8.0,9.0,,,,,,,,,,,,,,,,,0.0,6.0,75.0,0.39
MK Tiwary,22,13,1.0,2.0,44.0,37.0,0.0,3.0,8.0,9.0,9.0,5.0,60.0,46.0,58.0,48.0,7.0,8.0,1.0,5.0,0.5,21.0,119.32,1.27864
MM Sharma,10,8,13.0,14.0,10.0,6.0,4.0,3.0,2.0,4.0,6.0,4.0,6.0,12.0,1.0,2.0,,,,,0.0,6.5,98.12,0.45624000000000003
BB Sran,0,0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,,,0.0,0.67,33.34,0.09348000000000001
AJ Tye,6,6,22.0,12.0,25.0,12.0,7.0,7.0,3.0,4.0,3.0,9.0,4.0,2.0,,,,,,,0.15,10.0,134.62,0.7292400000000001
AD Nath,0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Lokesh Rahul,51,16,47.0,30.0,37.0,22.0,18.0,21.0,60.0,27.0,23.0,15.0,32.0,26.0,,,,,,,1.0,38.29,170.71,2.27302
R Ashwin,33,21,14.0,11.0,6.0,7.0,4.0,6.0,,,,,,,,,,,,,0.25,14.25,126.67,0.92334
M Ur Rahman,0,2,10.0,5.0,,,,,,,,,,,,,,,,,0.0,5.0,142.86,0.48572000000000004
