player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
AR Patel,36.0,4.0,2.0,34.0,3.0,0.0,22.0,4.0,1.0,11.0,3.0,3.0,29.0,3.0,0.0,28.0,4.0,0.0,28.0,3.0,1.0,13.0,2.0,1.0,35.0,3.0,1.0,25.0,4.0,1.0,1.4,7.91,1.1618
Yuvraj Singh,6.0,1.0,1.0,16.0,1.0,0.0,10.0,1.0,0.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.25,11.25,0.17500000000000002
KK Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CH Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
DA Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
AJ Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
MP Stoinis,27.0,3.0,1.0,28.0,3.0,0.0,14.0,1.3,0.0,28.0,2.0,1.0,12.0,1.0,0.0,7.0,1.0,0.0,,,,,,,,,,,,,0.5,10.27,0.39460000000000006
MA Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
AS Rajpoot,37.0,4.0,3.0,25.0,4.0,0.0,17.0,2.0,0.0,14.0,3.0,1.0,14.0,1.0,0.0,32.0,3.0,0.0,23.0,4.0,2.0,14.0,4.0,5.0,,,,,,,1.75,7.04,1.4592
MK Tiwary,10.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,0.0
MM Sharma,3.0,1.1,0.0,24.0,4.0,2.0,35.0,4.0,0.0,24.0,3.0,2.0,57.0,4.0,2.0,6.0,1.0,0.0,33.0,4.0,2.0,45.0,4.4,0.0,47.0,4.0,1.0,51.0,4.0,2.0,1.6,9.71,1.2858000000000003
BB Sran,29.0,2.0,0.0,37.0,4.0,0.0,22.0,4.0,0.0,50.0,4.0,2.0,45.0,4.0,1.0,27.0,3.0,0.0,,,,,,,,,,,,,1.0,10.0,0.8
AJ Tye,35.0,4.0,2.0,12.0,4.0,3.0,9.0,1.0,0.0,38.0,4.0,0.0,27.0,4.0,1.0,47.0,4.0,2.0,23.0,4.0,2.0,30.0,4.0,2.0,25.0,4.0,2.0,28.0,4.0,0.0,2.21,7.41,1.8198
AD Nath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
R Ashwin,23.0,4.0,1.0,30.0,4.0,2.0,32.0,4.0,1.0,53.0,4.0,0.0,33.0,4.0,1.0,19.0,4.0,0.0,34.0,4.0,0.0,,,,,,,,,,0.86,8.0,0.7280000000000001
Mujeeb Ur Rahman,28.0,4.0,2.0,29.0,4.0,1.0,18.0,3.0,0.0,27.0,4.0,0.0,32.0,4.0,1.0,25.0,4.0,2.0,17.0,4.0,1.0,,,,,,,,,,1.58,6.52,1.3336000000000003
