player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
RG Sharma,1,2,26.0,24.0,24.0,23.0,15.0,18.0,11.0,10.0,18.0,15.0,94.0,52.0,0.0,1.0,2.0,6.0,56.0,33.0,0.5,24.7,134.24,1.45648
JJ Bumrah,0,1,16.0,11.0,4.0,5.0,6.0,5.0,,,,,,,,,,,,,0.0,6.5,118.19,0.49638000000000004
HH Pandya,30,14,1.0,3.0,14.0,10.0,10.0,9.0,22.0,20.0,2.0,3.0,17.0,5.0,4.0,2.0,3.0,19.0,13.0,8.0,0.1,11.6,124.74,0.7534799999999999
KA Pollard,50,26,13.0,11.0,7.0,10.0,9.0,10.0,7.0,3.0,28.0,23.0,0.0,1.0,5.0,7.0,21.0,20.0,9.0,6.0,0.3,14.9,127.36,0.97072
Mustafizur Rahman,1,3,,,,,,,,,,,,,,,,,,,0.0,1.0,33.34,0.10668000000000001
SA Yadav,15,19,30.0,16.0,31.0,26.0,43.0,29.0,28.0,31.0,53.0,32.0,0.0,1.0,72.0,47.0,34.0,38.0,44.0,34.0,1.2,35.0,128.21,2.13642
KH Pandya,0,1,15.0,12.0,45.0,30.0,47.0,41.0,41.0,22.0,15.0,10.0,11.0,10.0,15.0,12.0,7.0,6.0,24.0,20.0,0.3,22.0,134.15,1.2683
Ishan Kishan,4,7,29.0,24.0,34.0,27.0,61.0,41.0,40.0,29.0,9.0,9.0,44.0,23.0,0.0,1.0,58.0,42.0,0.0,3.0,0.8,27.9,135.44,1.7068800000000002
RD Chahar,3,2,,,,,,,,,,,,,,,,,,,0.0,3.0,150.0,0.42000000000000004
SS Tiwary,52,46,,,,,,,,,,,,,,,,,,,2.0,52.0,113.05,3.1061
BCJ Cutting,16,6,20.0,11.0,15.0,10.0,9.0,9.0,,,,,,,,,,,,,0.0,15.0,166.67,0.9333400000000001
PJ Sangwan,1,2,1.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,0.0,0.5,25.0,0.07
AP Tare,18,18,0.0,6.0,0.0,1.0,,,,,,,,,,,,,,,0.0,6.0,72.0,0.384
AF Milne,2,3,5.0,8.0,0.0,1.0,,,,,,,,,,,,,,,0.0,2.34,58.34,0.21028000000000002
MJ McClenaghan,0,1,1.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,0.0,2.0,84.22,0.24844000000000002
E Lewis,0,2,29.0,17.0,48.0,28.0,65.0,42.0,0.0,1.0,5.0,9.0,47.0,43.0,,,,,,,0.86,27.72,136.62,1.7260400000000002
M Markande,6,3,4.0,3.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,0.0,2.75,122.23,0.35446
A Dhananjaya,4,5,,,,,,,,,,,,,,,,,,,0.0,4.0,80.0,0.32000000000000006
