player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
RG Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
JJ Bumrah,33.0,4.0,0.0,7.0,3.0,3.0,26.0,4.0,2.0,37.0,4.0,1.0,32.0,4.0,2.0,27.0,4.0,0.0,28.0,4.0,2.0,28.0,4.0,2.0,25.0,4.0,1.0,25.0,4.0,0.0,1.8,6.88,1.5024000000000002
HH Pandya,29.0,2.0,0.0,22.0,4.0,2.0,15.0,1.0,0.0,4.0,1.0,0.0,24.0,4.0,3.0,32.0,2.0,0.0,4.0,1.0,0.0,25.0,2.4,2.0,20.0,3.0,2.0,39.0,4.0,1.0,1.5,8.78,1.2244000000000002
KA Pollard,30.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,-0.2
Mustafizur Rahman,34.0,2.4,0.0,39.0,3.5,1.0,24.0,4.0,3.0,25.0,4.0,1.0,55.0,4.0,0.0,35.0,4.0,1.0,18.0,3.4,1.0,,,,,,,,,,1.43,9.1,1.162
SA Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
KH Pandya,14.0,2.0,0.0,22.0,4.0,0.0,25.0,3.0,0.0,31.0,4.0,0.0,10.0,2.0,0.0,21.0,3.0,2.0,28.0,4.0,3.0,33.0,4.0,1.0,14.0,2.0,0.0,32.0,4.0,2.0,1.6,7.19,1.3362000000000003
Ishan Kishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
RD Chahar,32.0,4.0,1.0,26.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.5,8.29,1.2342000000000002
SS Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
BCJ Cutting,35.0,3.4,0.0,29.0,3.0,0.0,18.0,2.0,0.0,41.0,4.0,1.0,40.0,4.0,0.0,14.0,1.0,0.0,,,,,,,,,,,,,0.34,10.18,0.2684
PJ Sangwan,38.0,4.0,2.0,43.0,4.0,1.0,28.0,3.0,1.0,35.0,3.0,1.0,37.0,4.0,0.0,19.0,2.0,0.0,,,,,,,,,,,,,1.0,10.0,0.8
AP Tare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
AF Milne,27.0,4.0,2.0,41.0,4.0,1.0,35.0,4.0,0.0,29.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.75,9.43,0.6114
MJ McClenaghan,34.0,4.0,3.0,18.0,2.0,1.0,26.0,4.0,1.0,54.0,4.0,1.0,46.0,4.0,1.0,44.0,4.0,1.0,24.0,3.0,2.0,32.0,3.0,1.0,22.0,3.0,2.0,26.0,4.0,2.0,2.3,9.32,1.8536
M Markande,23.0,4.0,3.0,23.0,4.0,4.0,42.0,3.0,0.0,25.0,4.0,1.0,15.0,2.0,0.0,15.0,3.0,2.0,30.0,3.0,0.0,,,,,,,,,,1.72,7.53,1.4254000000000002
A Dhananjaya,47.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.75,-0.03500000000000001
