player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
V Kohli,6.0,6.0,5.0,9.0,58.0,46.0,31.0,33.0,21.0,16.0,57.0,30.0,92.0,62.0,30.0,26.0,18.0,15.0,68.0,44.0,1.0,38.6,134.5,2.2130000000000005
AB de Villiers,3.0,8.0,43.0,28.0,10.0,6.0,10.0,8.0,44.0,23.0,57.0,40.0,20.0,18.0,1.0,2.0,90.0,39.0,68.0,30.0,0.8,34.6,171.29,2.04658
BB McCullum,6.0,6.0,3.0,6.0,6.0,4.0,1.0,4.0,45.0,28.0,1.0,3.0,43.0,27.0,0.0,1.0,4.0,4.0,38.0,28.0,0.5,14.7,132.44,1.05288
CR Woakes,1.0,1.0,3.0,5.0,18.0,21.0,6.0,3.0,1.0,3.0,8.0,6.0,5.0,5.0,1.0,2.0,0.0,1.0,11.0,11.0,0.0,5.4,93.11,0.40222
C de Grandhomme,1.0,2.0,0.0,2.0,18.0,15.0,36.0,19.0,31.0,28.0,11.0,7.0,29.0,16.0,0.0,1.0,11.0,7.0,11.0,6.0,0.4,14.8,143.69,1.03938
UT Yadav,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.5,33.34,0.08668000000000001
YS Chahal,3.0,7.0,1.0,2.0,0.0,2.0,1.0,2.0,4.0,9.0,4.0,4.0,,,,,,,,,0.0,2.17,50.0,0.18680000000000002
M Vohra,34.0,22.0,28.0,23.0,3.0,6.0,95.0,52.0,2.0,4.0,3.0,6.0,25.0,28.0,25.0,18.0,2.0,5.0,0.0,1.0,0.7,21.7,131.52,1.4110399999999998
A Choudhary,6.0,2.0,15.0,12.0,4.0,6.0,,,,,,,,,,,,,,,0.0,8.34,125.0,0.5836
Mandeep Singh,17.0,13.0,46.0,40.0,52.0,44.0,37.0,18.0,22.0,19.0,47.0,25.0,16.0,14.0,17.0,9.0,32.0,17.0,19.0,14.0,0.7,30.5,143.2,1.7864
Washington Sundar,2.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,9.0,4.0,35.0,19.0,7.0,8.0,13.0,4.0,0.2,7.3,155.32,0.68264
P Negi,10.0,7.0,2.0,3.0,32.0,19.0,3.0,7.0,35.0,23.0,21.0,25.0,5.0,3.0,13.0,6.0,3.0,4.0,0.0,1.0,0.2,12.4,126.54,0.82908
Mohammed Siraj,8.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,4.0,266.67,0.6933400000000001
PA Patel,8.0,13.0,33.0,28.0,70.0,45.0,0.0,1.0,25.0,23.0,23.0,18.0,38.0,24.0,52.0,42.0,14.0,9.0,4.0,6.0,0.7,26.7,127.76,1.60352
TG Southee,7.0,3.0,,,,,,,,,,,,,,,,,,,0.0,7.0,233.34,0.74668
CJ Anderson,18.0,26.0,41.0,24.0,18.0,14.0,10.0,8.0,6.0,6.0,3.0,6.0,3.0,9.0,0.0,1.0,15.0,13.0,2.0,8.0,0.1,11.6,100.87,0.70574
Q De Kock,4.0,4.0,45.0,34.0,26.0,19.0,19.0,12.0,18.0,16.0,53.0,37.0,29.0,27.0,,,,,,,0.86,27.72,130.21,1.7132200000000002
Sarfaraz Khan,6.0,10.0,0.0,1.0,5.0,6.0,,,,,,,,,,,,,,,0.0,3.67,64.71,0.27622
