player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
V Kohli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
AB de Villiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
BB McCullum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CR Woakes,20.0,3.0,0.0,46.0,4.0,1.0,18.0,4.0,3.0,39.0,4.0,1.0,20.0,4.0,2.0,36.0,4.0,3.0,36.0,3.2,2.0,47.0,4.0,2.0,31.0,3.0,1.0,40.0,4.0,0.0,2.3,8.96,1.8607999999999998
C de Grandhomme,15.0,2.0,1.0,12.0,1.0,0.0,4.0,1.4,3.0,14.0,2.0,0.0,15.0,1.0,0.0,7.0,0.2,0.0,15.0,2.0,0.0,37.0,4.0,0.0,16.0,2.0,0.0,,,,0.45,8.66,0.38680000000000003
UT Yadav,40.0,4.0,0.0,21.0,4.0,2.0,23.0,2.3,1.0,27.0,4.0,2.0,23.0,4.0,3.0,59.0,4.0,0.0,36.0,4.0,2.0,27.0,4.0,1.0,23.0,4.0,1.0,36.0,3.1,0.0,1.6,8.43,1.3114000000000003
YS Chahal,21.0,4.0,2.0,39.0,4.0,1.0,24.0,3.0,0.0,29.0,3.0,0.0,38.0,4.0,1.0,22.0,4.0,2.0,32.0,3.0,0.0,22.0,3.0,2.0,26.0,4.0,2.0,29.0,4.0,0.0,1.6,7.84,1.3232000000000002
M Vohra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
A Choudhary,55.0,4.0,1.0,21.0,2.0,0.0,32.0,4.0,1.0,17.0,4.0,2.0,19.0,2.5,1.0,,,,,,,,,,,,,,,,1.8,8.73,1.4654000000000003
Mandeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Washington Sundar,19.0,3.0,0.0,23.0,3.0,1.0,16.0,4.0,3.0,13.0,4.0,0.0,48.0,4.0,1.0,22.0,4.0,2.0,30.0,4.0,0.0,32.0,2.0,0.0,31.0,4.0,1.0,14.0,1.0,0.0,1.11,7.52,0.9376000000000001
P Negi,21.0,4.0,1.0,15.0,3.0,2.0,24.0,2.0,1.0,18.0,4.0,1.0,17.0,4.0,2.0,21.0,3.0,1.0,21.0,3.1,2.0,10.0,2.0,3.0,13.0,1.0,0.0,36.0,3.0,1.0,2.1,6.74,1.7452
Mohammed Siraj,39.0,4.0,2.0,42.0,4.0,0.0,26.0,4.0,2.0,41.0,4.0,2.0,32.0,3.0,0.0,32.0,4.0,4.0,34.0,4.0,0.0,35.0,4.0,0.0,48.0,4.0,0.0,40.0,4.0,2.0,1.6,9.47,1.2906000000000002
PA Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
TG Southee,34.0,4.0,1.0,23.0,2.0,0.0,39.0,4.0,2.0,34.0,4.0,0.0,,,,,,,,,,,,,,,,,,,1.25,9.29,1.0142
CJ Anderson,23.0,3.0,1.0,27.0,2.5,0.0,36.0,3.0,1.0,29.0,2.0,1.0,19.0,2.0,0.0,4.0,1.0,0.0,38.0,4.0,0.0,47.0,4.0,2.0,10.0,1.0,1.0,58.0,3.4,0.0,0.9,11.24,0.6952
K Khejroliya,34.0,3.5,0.0,33.0,4.0,2.0,40.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.34,10.2,1.068
Murugan Ashwin,36.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,3.22
