player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
SPD Smith,17,12,51.0,37.0,45.0,32.0,4.0,2.0,9.0,9.0,34.0,40.0,38.0,35.0,15.0,18.0,1.0,2.0,51.0,53.0,0.8,26.5,110.42,1.6008400000000003
RA Tripathi,28,21,0.0,2.0,3.0,8.0,17.0,15.0,15.0,11.0,14.0,5.0,15.0,11.0,5.0,5.0,9.0,8.0,4.0,5.0,0.1,11.0,120.88,0.7217600000000001
AM Rahane,34,34,56.0,44.0,44.0,38.0,13.0,13.0,45.0,40.0,36.0,20.0,36.0,19.0,16.0,11.0,14.0,17.0,65.0,53.0,1.0,35.9,124.23,2.08446
STR Binny,11,10,16.0,19.0,18.0,20.0,6.0,4.0,18.0,8.0,8.0,9.0,1.0,7.0,10.0,8.0,,,,,0.0,11.0,103.53,0.6470600000000001
BA Stokes,14,15,39.0,26.0,33.0,26.0,5.0,8.0,16.0,12.0,27.0,21.0,14.0,11.0,45.0,37.0,40.0,27.0,0.0,3.0,0.8,23.3,125.27,1.5025400000000002
SV Samson,10,7,2.0,4.0,0.0,2.0,49.0,42.0,37.0,22.0,92.0,45.0,7.0,8.0,2.0,3.0,52.0,39.0,40.0,30.0,0.8,29.1,144.06,1.7721200000000001
JC Buttler,17,13,10.0,9.0,33.0,21.0,6.0,9.0,29.0,18.0,23.0,14.0,24.0,18.0,22.0,17.0,6.0,8.0,10.0,11.0,0.2,18.0,130.44,1.06088
DS Kulkarni,1,2,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,0.0,2.34,77.78,0.24916000000000005
JD Unadkat,2,5,1.0,2.0,0.0,0.0,16.0,10.0,0.0,0.0,,,,,,,,,,,0.0,3.8,111.77,0.37554
Ankit Sharma,25,16,,,,,,,,,,,,,,,,,,,2.0,25.0,156.25,2.1125
Anureet Singh,15,12,,,,,,,,,,,,,,,,,,,0.0,15.0,125.0,0.8500000000000001
D Arcy Short,4,4,6.0,3.0,11.0,17.0,44.0,43.0,,,,,,,,,,,,,0.5,16.25,97.02,1.04404
K Gowtham,0,2,2.0,1.0,12.0,7.0,1.0,2.0,33.0,11.0,8.0,5.0,,,,,,,,,0.34,9.34,200.0,0.9096000000000001
S Gopal,18,18,0.0,1.0,8.0,10.0,,,,,,,,,,,,,,,0.0,8.67,89.66,0.52612
Ben Lauhlin,1,3,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.5,25.0,0.07
H Klaassen,7,7,0.0,1.0,,,,,,,,,,,,,,,,,0.0,3.5,87.5,0.315
Jofra Archer,8,9,1.0,1.0,,,,,,,,,,,,,,,,,0.0,4.5,90.0,0.36000000000000004
Mahipal Lomror,11,12,,,,,,,,,,,,,,,,,,,0.0,11.0,91.67,0.6233400000000001
