player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
SPD Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
RA Tripathi,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,-0.039999999999999994
AM Rahane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
STR Binny,10.0,1.0,1.0,14.0,2.0,1.0,9.0,1.0,1.0,17.0,2.0,1.0,33.0,2.0,0.0,,,,,,,,,,,,,,,,1.2,10.38,0.9523999999999999
BA Stokes,24.0,4.0,1.0,30.0,4.0,3.0,31.0,4.0,2.0,10.0,3.0,0.0,21.0,2.0,0.0,32.0,3.0,1.0,25.0,3.0,0.0,39.0,3.0,0.0,31.0,3.0,0.0,20.0,3.0,0.0,0.8,8.22,0.6756000000000001
SV Samson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
JC Buttler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
DS Kulkarni,37.0,4.0,1.0,23.0,2.0,0.0,24.0,4.0,1.0,30.0,4.0,0.0,18.0,2.5,0.0,4.0,1.0,0.0,14.0,1.0,0.0,20.0,2.0,0.0,32.0,4.0,2.0,20.0,2.0,0.0,0.6,8.38,0.5124
JD Unadkat,12.0,3.0,2.0,24.0,4.0,1.0,19.0,4.0,1.0,28.0,3.0,1.0,24.0,2.0,1.0,35.0,3.0,0.0,34.0,3.0,0.0,39.0,4.0,0.0,31.0,4.0,1.0,33.0,3.0,1.0,1.0,8.46,0.8308
Ankit Sharma,16.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,-0.12000000000000002
Anureet Singh,26.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,-0.06000000000000001
K Gowtham,9.0,1.0,0.0,10.0,1.0,0.0,36.0,4.0,1.0,23.0,4.0,2.0,35.0,3.0,0.0,20.0,3.0,0.0,18.0,4.0,2.0,,,,,,,,,,1.29,7.55,1.081
Ben Laughlin,20.0,2.0,0.0,20.0,2.0,2.0,46.0,4.0,1.0,37.0,3.5,0.0,38.0,4.0,2.0,,,,,,,,,,,,,,,,1.6,10.39,1.2722000000000002
S Gopal,17.0,3.0,0.0,22.0,4.0,2.0,23.0,3.0,0.0,20.0,4.0,3.0,30.0,2.0,0.0,,,,,,,,,,,,,,,,1.6,7.0,1.3400000000000003
D Arcy Short,9.0,2.0,0.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.34,0.8732000000000001
Jofra Archer,22.0,4.0,3.0,26.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.0,3.68
Ish Sodhi,25.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.34,1.6332
Mahipal Lmror,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.039999999999999994
