player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,cf,avg,srate,performanceIndex
DA Warner,70.0,57.0,4.0,7.0,43.0,42.0,51.0,27.0,126.0,60.0,30.0,21.0,40.0,34.0,6.0,6.0,69.0,52.0,37.0,35.0,1.2,47.6,139.59,2.66318
B Kumar,4.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,2.0,100.0,0.28
S Dhawan,62.0,46.0,18.0,12.0,11.0,13.0,77.0,57.0,45.0,28.0,7.0,7.0,0.0,1.0,5.0,6.0,11.0,8.0,6.0,4.0,0.3,24.2,132.97,1.3539400000000001
Shakib Al Hasan,1.0,1.0,12.0,12.0,27.0,21.0,24.0,12.0,24.0,19.0,2.0,4.0,28.0,29.0,6.0,6.0,,,,,0.38,15.5,119.24,1.01048
KS Williamson,4.0,2.0,24.0,26.0,36.0,35.0,6.0,4.0,50.0,44.0,54.0,41.0,84.0,51.0,29.0,21.0,0.0,3.0,63.0,43.0,1.0,35.0,129.63,2.05926
MK Pandey,4.0,3.0,18.0,23.0,33.0,33.0,11.0,8.0,4.0,11.0,57.0,42.0,0.0,2.0,16.0,11.0,54.0,51.0,16.0,15.0,0.5,21.3,107.04,1.26608
CR Brathwaite,1.0,5.0,11.0,11.0,,,,,,,,,,,,,,,,,0.0,6.0,75.0,0.39
YK Pathan,2.0,3.0,20.0,9.0,0.0,1.0,14.0,14.0,17.0,7.0,19.0,13.0,45.0,27.0,29.0,33.0,21.0,19.0,2.0,3.0,0.4,16.9,131.01,1.09802
WP Saha,93.0,59.0,13.0,18.0,5.0,5.0,22.0,20.0,24.0,15.0,6.0,7.0,5.0,5.0,0.0,2.0,6.0,9.0,11.0,7.0,0.1,18.5,125.86,1.0317200000000002
Rashid Khan,2.0,4.0,6.0,1.0,3.0,4.0,0.0,1.0,17.0,4.0,6.0,9.0,1.0,3.0,,,,,,,0.0,5.0,134.62,0.46924000000000005
DJ Hooda,16.0,12.0,9.0,10.0,13.0,7.0,12.0,10.0,9.0,4.0,19.0,10.0,32.0,25.0,5.0,9.0,5.0,5.0,1.0,7.0,0.2,12.1,122.23,0.8084600000000001
S Kaul,0.0,2.0,0.0,4.0,2.0,9.0,,,,,,,,,,,,,,,0.0,0.67,13.34,0.05348
T Natarajan,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Mohammad Nabi,2.0,3.0,14.0,10.0,4.0,2.0,,,,,,,,,,,,,,,0.0,6.67,133.34,0.5334800000000001
Basil Thampi,13.0,8.0,0.0,1.0,11.0,12.0,2.0,4.0,2.0,5.0,3.0,6.0,,,,,,,,,0.0,5.17,86.12,0.37904000000000004
Sandeep Sharma,2.0,2.0,5.0,5.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,0.0,1.75,70.0,0.20999999999999996
Sachin Baby,1.0,3.0,2.0,4.0,12.0,10.0,,,,,,,,,,,,,,,0.0,5.0,88.24,0.37648000000000004
CJ Jordan,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
B Stanlake,5.0,2.0,,,,,,,,,,,,,,,,,,,0.0,5.0,250.0,0.7
Bipul Sharma,21.0,14.0,8.0,8.0,2.0,3.0,,,,,,,,,,,,,,,0.0,10.34,124.0,0.6616
Ricky Bhui,0.0,5.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Alex Hales,45.0,39.0,,,,,,,,,,,,,,,,,,,2.0,45.0,115.39,2.83078
