player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
DA Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
B Kumar,29.0,4.0,1.0,33.0,4.0,1.0,39.0,4.0,0.0,29.0,4.0,2.0,25.0,3.2,2.0,11.0,1.0,1.0,30.0,4.0,1.0,26.0,4.0,3.0,25.0,4.0,1.0,22.0,3.0,1.0,2.0,7.65,1.647
S Dhawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Shakib Al Hasan,31.0,3.0,0.0,23.0,4.0,2.0,34.0,4.0,1.0,21.0,4.0,2.0,28.0,2.0,0.0,32.0,4.0,0.0,16.0,3.0,1.0,18.0,3.0,2.0,30.0,4.0,0.0,,,,1.23,7.52,1.0336
KS Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
MK Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CR Brathwaite,28.0,2.0,0.0,38.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,0.78
YK Pathan,15.0,1.0,0.0,2.0,1.0,1.0,17.0,1.0,0.0,7.0,1.0,0.0,14.0,2.0,1.0,,,,,,,,,,,,,,,,0.6,9.17,0.4966
WP Saha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Rashid Khan,34.0,4.0,3.0,11.0,2.0,0.0,23.0,4.0,1.0,13.0,4.0,1.0,31.0,4.0,0.0,55.0,4.0,1.0,49.0,4.0,1.0,11.0,4.0,2.0,19.0,4.0,3.0,31.0,4.0,1.0,2.1,7.29,1.7342000000000002
DJ Hooda,7.0,1.0,1.0,18.0,2.0,1.0,17.0,1.0,0.0,16.0,2.0,0.0,8.0,1.0,0.0,,,,,,,,,,,,,,,,0.4,9.43,0.3314000000000001
S Kaul,30.0,4.0,1.0,14.0,1.0,0.0,17.0,4.0,2.0,29.0,4.0,2.0,37.0,4.0,1.0,33.0,4.0,1.0,33.0,4.0,0.0,23.0,4.0,3.0,25.0,4.0,0.0,23.0,4.0,2.0,1.8,7.14,1.4972
T Natarajan,26.0,3.0,1.0,13.0,1.0,0.0,22.0,3.0,0.0,7.0,2.0,0.0,15.0,1.0,0.0,32.0,2.4,1.0,,,,,,,,,,,,,0.5,9.28,0.41440000000000005
Mohammad Nabi,28.0,4.0,1.0,13.0,4.0,1.0,17.0,3.0,0.0,23.0,3.0,1.0,24.0,2.0,0.0,,,,,,,,,,,,,,,,0.8,6.57,0.7086000000000001
Basil Thampi,44.0,4.0,0.0,34.0,4.0,1.0,29.0,4.0,3.0,35.0,4.0,2.0,40.0,4.0,1.0,48.0,4.0,1.0,43.0,3.4,1.0,4.0,1.5,2.0,14.0,2.2,2.0,26.0,2.0,1.0,2.1,9.58,1.6884000000000001
Sandeep Sharma,20.0,4.0,3.0,22.0,4.0,3.0,29.0,4.0,2.0,31.0,4.0,0.0,42.0,4.0,1.0,12.0,2.0,0.0,25.0,4.0,2.0,9.0,3.0,1.0,17.0,4.0,2.0,15.0,4.0,1.0,2.1,6.0,1.7600000000000002
Sachin Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CJ Jordan,8.0,1.0,1.0,31.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,7.8,0.444
B Stanlake,29.0,4.0,2.0,41.0,4.0,0.0,29.0,4.0,1.0,42.0,4.0,2.0,21.0,4.0,2.0,38.0,4.0,0.0,,,,,,,,,,,,,1.84,8.34,1.5052000000000003
Bipul Sharma,4.0,1.0,1.0,24.0,4.0,0.0,20.0,2.0,0.0,30.0,4.0,1.0,10.0,1.0,0.0,39.0,4.0,1.0,2.0,0.2,0.0,,,,,,,,,,0.72,7.97,0.6165999999999999
